,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2019-06-20,31.000000,31.500000,28.000000,28.510000,28.510000,13395468,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-21,29.740000,29.900000,27.880000,28.600000,28.600000,1773046,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-24,28.610000,30.389900,27.750000,29.990000,29.990000,1085362,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-25,29.900000,31.292500,29.599000,30.690000,30.690000,788947,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-26,31.490000,35.630000,31.040000,32.980000,32.980000,2939229,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-27,33.310000,33.950000,32.050000,32.710000,32.710000,1057248,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-06-28,32.740000,34.200000,32.273200,32.880000,32.880000,541394,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-07-01,33.250000,33.740000,31.220000,33.100000,33.100000,1002913,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-07-02,32.790000,33.730000,32.607400,33.000000,33.000000,380720,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
2019-07-03,33.020000,33.500000,33.011800,33.200000,33.200000,251071,0.000000,1.000000,GO,Common Stock,Grocery Outlet Holding Corp,"Grocery Outlet Holding Corp. The company is headquartered in Emeryville, California.",1771515,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-GROCERY STORES,"5650 HOLLIS STREET, EMERYVILLE, CA, US",https://www.groceryoutlet.com,December,2025-03-31,1312683000,226864000,78.76,None,12.04,None,None,0.17,45.41,0.0039,0.0101,0.0227,0.0143,4460124000,1360437000,0.17,-0.831,0.085,15.62,0,2,10,1,1,78.76,17.45,0.294,1.113,0.673,17.35,0.316,22.22,10.26,14.13,15.52,98035000,93645000,4.641,114.888,None,None
