,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,54.220000,54.500000,52.460000,52.670000,24.954061,1266700,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-05,52.500000,52.770000,52.170000,52.560000,24.901945,644300,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-06,52.620000,52.750000,52.040000,52.370000,24.811927,814100,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-07,52.370000,52.400000,51.780000,52.040000,24.655579,1233900,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-08,49.200000,49.740000,48.240000,48.970000,23.201070,3218500,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-11,48.930000,48.970000,47.390000,47.820000,22.656222,2210500,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-12,47.700000,47.850000,47.200000,47.770000,22.632533,1155600,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-13,47.740000,47.990000,47.290000,47.810000,22.651484,1089800,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-14,47.560000,47.920000,46.950000,46.980000,22.258246,1490800,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
2010-01-15,47.000000,47.200000,46.400000,46.480000,22.021355,1170400,0.000000,1.000000,GPN,Common Stock,Global Payments Inc,"Global Payments Inc. is an American company providing financial technology services globally headquartered in Atlanta, Georgia.",1123360,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","3550 LENOX ROAD, ATLANTA, GA, US",https://www.globalpayments.com/en-ap,December,2025-03-31,19961577000,4423722000,13.24,0.623,90.68,1,0.0125,6.18,40.11,0.155,0.233,0.0323,0.071,10097805000,6348184000,6.18,0.016,-0.003,94.74,1,11,19,1,1,13.24,6.79,1.977,0.897,3.366,7.76,0.936,119.03,65.72,77.86,98.0,243880000,241761000,0.955,94.426,2025-06-27,2025-06-13
