,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,29.810000,30.600000,29.650000,29.960000,29.055706,482700,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-05,30.060000,30.180000,29.810000,30.000000,29.094499,554100,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-06,29.750000,29.930000,29.460000,29.720000,28.822950,58000,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-07,29.560000,30.000000,29.500000,29.890000,28.987819,1140300,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-08,29.980000,30.000000,29.590000,29.710000,28.813252,745500,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-11,29.800000,29.910000,29.520000,29.810000,28.910234,970200,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-12,29.900000,29.970000,29.390000,29.830000,28.929630,490200,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-13,29.900000,30.740000,29.880000,30.730000,29.802465,1499800,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-14,30.720000,32.240000,30.720000,31.690000,30.733489,1012100,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
2010-01-15,31.820000,31.930000,31.540000,31.750000,30.791678,736700,0.000000,1.000000,H,Common Stock,Hyatt Hotels Corporation,"Hyatt Hotels Corporation is a hotel company in the United States and internationally. The company is headquartered in Chicago, Illinois.",1468174,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"71 SOUTH WACKER DRIVE, 12TH FLOOR, CHICAGO, IL, US",https://www.hyatt.com,December,2025-03-31,14076941000,815000000,18.67,0.793,36.27,0.6,0.0043,7.9,32.79,0.247,0.151,0.024,0.215,3216000000,1407000000,7.9,-0.961,-0.088,144.76,1,7,13,0,1,18.67,57.47,4.377,4.067,2.537,10.31,1.426,167.83,102.31,130.16,142.09,41943700,40120300,3.972,113.057,2025-06-11,2025-05-29
