,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,29.150000,29.150000,28.550000,28.670000,19.809359,13120900,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-05,28.730000,28.990000,28.290000,28.880000,19.954457,15594300,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-06,28.880000,29.000000,28.700000,28.780000,19.885363,8833200,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-07,28.860000,29.220000,28.730000,29.120000,20.120284,12058200,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-08,29.000000,29.240000,28.690000,28.980000,20.023552,15609800,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-11,29.000000,29.020000,28.080000,28.160000,19.456978,23670500,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-12,28.150000,28.350000,27.890000,27.980000,19.332608,23075800,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-13,28.000000,28.250000,28.000000,28.130000,19.436250,15639100,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-14,28.120000,28.440000,28.120000,28.300000,19.553710,13208200,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
2010-01-15,28.310000,28.690000,28.000000,28.570000,19.740265,23013500,0.000000,1.000000,HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",https://www.homedepot.com,January,2025-04-30,369794843000,25497999000,25.25,4.351,8.0,6.8,0.0251,14.72,164.47,0.0898,0.129,0.151,2.995,162952004000,54334001000,14.72,-0.05,0.094,418.64,5,20,12,0,1,25.25,24.81,2.269,46.49,2.637,16.74,1.018,431.63,324.29,365.06,387.01,994928000,993296000,0.072,72.708,2025-06-18,2025-06-05
