,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,44.870000,45.920000,44.670000,44.770000,10.410828,61727,0.060000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-05,44.850000,45.990000,44.510000,45.570000,10.596860,93266,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-06,45.390000,45.730000,44.970000,45.520000,10.585233,61563,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-07,45.810000,45.870000,45.160000,45.660000,10.617789,51282,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-08,45.410000,45.840000,45.080000,45.420000,10.561979,50422,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-11,45.730000,45.780000,44.880000,45.650000,10.615463,34693,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-12,45.280000,45.750000,44.890000,44.980000,10.459661,55542,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-13,45.240000,45.770000,45.080000,45.630000,10.610812,30351,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-14,45.630000,46.230000,45.310000,45.880000,10.668947,49562,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
2010-01-15,46.110000,46.110000,44.370000,44.740000,10.403851,94454,0.000000,1.000000,HEI,Common Stock,Heico Corporation,"HEICO Corporation designs, manufactures, and sells aerospace, defense, and electronic products and services in the United States and internationally. The company is headquartered in Hollywood, Florida.",46619,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"3000 TAFT ST, HOLLYWOOD, FL, US",https://www.heico.com,October,2025-04-30,39214293000,1098528000,75.68,2.958,28.52,0.22,0.0007,4.29,29.79,0.145,0.226,0.0739,0.157,4133953000,1626628000,4.29,0.273,0.149,307.73,3,9,8,0,1,75.68,62.5,9.49,11.38,9.98,37.6,1.075,328.63,216.6,287.47,261.0,55049000,118275000,22.862,71.813,2025-07-15,2025-07-01
