,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,25.490000,25.700000,25.280000,25.460000,18.369809,2904000,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-05,25.370000,25.910000,25.240000,25.650000,18.506897,2805400,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-06,25.740000,25.990000,25.450000,25.590000,18.463606,3283200,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-07,25.460000,25.890000,25.320000,25.800000,18.615125,2522200,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-08,25.780000,25.850000,25.320000,25.530000,18.420315,3523100,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-11,25.730000,25.760000,25.100000,25.170000,18.160569,2664400,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-12,25.090000,25.090000,24.500000,24.810000,17.900823,3491800,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-13,24.810000,25.990000,24.630000,25.880000,18.672846,4288400,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-14,25.920000,25.920000,25.580000,25.730000,18.564618,2537200,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-15,25.650000,26.000000,24.830000,25.080000,18.095633,4748000,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-19,25.080000,25.730000,24.410000,25.710000,18.550188,4374500,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-20,25.450000,26.180000,25.340000,25.840000,18.643985,5478400,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-21,25.940000,26.090000,25.100000,25.580000,18.456391,5328500,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-22,24.960000,24.990000,23.160000,23.590000,17.020573,14178200,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-25,23.830000,24.220000,23.220000,23.420000,16.897915,5006800,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-26,23.270000,23.690000,23.080000,23.180000,16.724752,3957800,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-27,23.150000,23.600000,22.840000,23.520000,16.970067,3875200,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-28,23.740000,23.820000,22.780000,23.350000,16.847409,4247700,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-01-29,23.480000,23.730000,22.590000,22.740000,16.407284,4514000,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-02-01,22.950000,23.310000,22.710000,23.270000,16.789688,2646800,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-02-02,23.410000,23.700000,23.060000,23.500000,16.955637,3439100,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-02-03,23.350000,23.550000,23.120000,23.260000,16.782473,2032300,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-02-04,22.890000,23.260000,22.550000,22.690000,16.371208,4723700,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
2010-02-05,22.510000,22.825000,21.810000,22.570000,16.284626,6446300,0.000000,1.000000,HOG,Common Stock,Harley-Davidson Inc,"Harley-Davidson, Inc. manufactures and sells custom, cruiser and touring motorcycles. The company is headquartered in Milwaukee, Wisconsin.",793952,NYSE,USD,USA,MANUFACTURING,"MOTORCYCLES, BICYCLES & PARTS","3700 W JUNEAU AVE, MILWAUKEE, WI, US",https://www.harley-davidson.com,December,2025-03-31,3101589000,536056000,9.15,1.471,26.19,0.698,0.0305,2.79,37.27,0.0739,0.132,0.019,0.106,4786404000,1247899000,2.79,-0.378,-0.231,28.92,1,4,10,0,1,9.15,9.25,0.648,0.975,1.78,14.28,1.331,39.16,20.3,24.15,28.5,121488000,109121000,0.940,96.945,2025-06-18,2025-06-02
