,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2015-10-19,18.500000,18.500000,16.480000,16.550000,7.418131,1581576,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-20,16.250000,16.930000,16.250000,16.870000,7.561563,709632,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-21,17.250000,17.350000,16.400000,16.480000,7.386755,78598,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-22,16.710000,17.050000,16.240000,16.950000,7.597421,110000,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-23,17.250000,17.250000,16.850000,17.000000,7.619832,59910,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-26,17.110000,17.110000,16.310000,16.420000,7.359862,514799,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-27,16.560000,16.750000,15.600000,15.730000,7.050586,636017,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-28,15.900000,16.350000,15.845000,16.280000,7.297110,296321,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-29,16.010000,16.270000,15.550000,15.950000,7.149196,290446,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
2015-10-30,15.900000,16.100000,14.720000,14.720000,6.597878,2449278,0.000000,1.000000,HPE,Common Stock,Hewlett Packard Enterprise Co,"The Hewlett Packard Enterprise Company (HPE) is an American multinational enterprise information technology company based in Houston, Texas, United States.",1645590,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"3000 HANOVER STREET, PALO ALTO, CA, US",https://www.hpe.com,October,2025-04-30,28002775000,4797000000,20.52,11.74,18.21,0.52,0.0254,1.04,24.06,0.046,0.0502,0.0231,0.0637,31648999000,9601000000,1.04,0.534,0.059,21.48,2,9,8,0,0,20.52,10.56,0.885,1.173,1.07,7.29,1.329,24.28,11.88,17.73,19.29,1312220000,1305655000,0.438,91.195,2025-07-17,2025-06-18
