,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,21.730000,21.810000,21.330000,21.520000,7.757081,625500,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-05,21.540000,21.700000,21.330000,21.540000,7.764290,831200,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-06,21.540000,21.690000,21.110000,21.200000,7.641734,461500,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-07,21.160000,21.400000,21.000000,21.370000,7.703012,610800,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-08,21.340000,21.340000,21.130000,21.210000,7.645339,304300,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-11,21.410000,21.420000,21.190000,21.350000,7.695803,302800,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-12,21.230000,21.440000,20.900000,21.070000,7.594875,567800,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-13,21.060000,21.750000,21.060000,21.700000,7.821964,762700,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-14,21.540000,21.770000,21.420000,21.660000,7.807545,505500,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
2010-01-15,21.630000,21.730000,21.490000,21.620000,7.793127,579800,0.000000,1.000000,HR,Common Stock,Healthcare Realty Trust Incorporated,"Healthcare Realty Trust is a real estate investment trust that integrates the ownership, management, financing, and development of income-generating real estate primarily associated with the provision of outpatient healthcare services throughout the United States. ",1360604,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"16435 N. SCOTTSDALE ROAD #320, SCOTTSDALE, AZ, US",https://www.healthcarerealty.com,December,2025-03-31,5653017000,734822000,None,4.67,14.47,1.24,0.0782,-1.12,3.465,-0.313,0.0619,0.0022,-0.0676,1240776000,769709000,-1.12,-0.768,-0.084,16.67,0,1,9,1,0,-,10.83,4.556,1.102,8.68,19.92,0.709,18.11,14.09,15.06,16.56,351423000,327622000,0.989,107.182,2025-05-23,2025-05-12
