,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,11.800000,12.010000,11.710000,11.820000,7.171758,6997800,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-05,11.850000,12.110000,11.780000,12.090000,7.335580,6070600,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-06,12.070000,12.200000,12.000000,12.160000,7.378052,8102500,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-07,12.050000,12.660000,12.050000,12.610000,7.651089,13175100,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-08,12.400000,12.660000,12.290000,12.490000,7.578279,8449100,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-11,12.600000,12.700000,12.300000,12.380000,7.511537,8228200,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-12,12.260000,12.470000,11.790000,11.980000,7.268838,12188000,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-13,11.990000,12.480000,11.980000,12.470000,7.566144,7507600,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-14,12.450000,12.640000,12.250000,12.410000,7.529739,9099800,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
2010-01-15,12.350000,12.360000,11.880000,11.980000,7.268838,8905900,0.000000,1.000000,HST,Common Stock,Host Hotels & Resorts Inc,"Host Hotels & Resorts, Inc. is a real estate investment trust that invests in hotels.",1070750,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6903 ROCKLEDGE DR, SUITE 1500, BETHESDA, MD, US",https://www.hosthotels.com,December,2025-03-31,11397445000,1573000000,16.89,2.223,9.59,0.8,0.0521,0.96,8.3,0.116,0.178,0.0391,0.1,5816000000,1694000000,0.96,-0.079,0.085,17.78,3,10,6,0,0,16.89,19.3,1.96,1.691,2.835,9.66,1.351,18.53,12.06,15.25,16.44,693714000,647707000,1.371,110.930,2025-07-15,2025-06-30
