,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,53.700000,54.350000,53.430000,54.080000,27.040000,162600,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-05,53.760000,54.170000,53.550000,54.170000,27.085000,111800,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-06,54.030000,54.740000,54.030000,54.300000,27.150000,131200,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-07,54.070000,56.650000,53.940000,56.360000,28.180000,374100,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-08,56.420000,56.900000,55.810000,55.910000,27.955000,321400,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-11,56.030000,57.910000,56.030000,57.770000,28.885000,348600,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-12,57.700000,57.770000,57.180000,57.680000,28.840000,246400,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-13,57.640000,59.310000,57.640000,59.150000,29.575000,520000,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-14,59.200000,59.950000,59.200000,59.630000,29.815000,253000,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
2010-01-15,59.500000,59.630000,58.530000,59.100000,29.550000,211300,0.000000,1.000000,IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",https://www.idexx.com,December,2025-03-31,43991585000,1341508000,50.51,4.517,17.93,None,None,10.83,47.94,0.228,0.317,0.23,0.593,3931836000,2409236000,10.83,0.053,0.036,516.15,3,3,6,0,1,50.51,45.45,11.19,30.38,11.42,34.81,1.548,548.54,356.14,505.41,455.01,80422000,79554000,0.671,97.508,None,None
