,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,31.330000,31.790000,30.860000,31.650000,25.395419,371600,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-05,31.550000,31.550000,31.000000,31.430000,25.218895,373000,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-06,31.440000,31.840000,31.350000,31.810000,25.523800,220300,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-07,31.850000,32.120000,31.560000,31.750000,25.475657,307400,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-08,31.610000,32.280000,31.470000,32.240000,25.868825,229000,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-11,32.270000,32.400000,32.060000,32.240000,25.868825,313000,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-12,31.990000,32.040000,31.440000,31.770000,25.491705,244500,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-13,31.840000,31.840000,31.270000,31.770000,25.587991,319100,0.120000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-14,31.740000,31.870000,31.490000,31.650000,25.491341,241000,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
2010-01-15,31.650000,31.720000,31.070000,31.230000,25.153068,181600,0.000000,1.000000,IEX,Common Stock,IDEX Corporation,"IDEX Corporation, based in Northbrook, Illinois, is a publicly traded company engaged in the development, design, and manufacture of fluidics systems and specialty engineered products.",832101,NYSE,USD,USA,TECHNOLOGY,PUMPS & PUMPING EQUIPMENT,"3100 SANDERS ROAD, SUITE 301, NORTHBROOK, IL, US",https://www.idexcorp.com,December,2025-03-31,13692459000,884700000,28.72,1.779,51.61,2.78,0.0162,6.31,43.36,0.146,0.197,0.069,0.127,3282600000,1463800000,6.31,-0.213,0.017,208.96,3,6,6,0,0,28.72,22.32,4.171,3.505,4.589,17.82,1.056,236.58,152.79,180.26,198.96,75545000,75341000,0.209,102.470,2025-07-25,2025-07-11
