,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,31.090000,31.150000,30.770000,30.810000,27.286694,2353000,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-05,30.760000,30.900000,30.410000,30.810000,27.286694,3142100,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-06,30.660000,30.850000,30.320000,30.380000,26.905867,2884400,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-07,30.290000,30.600000,30.120000,30.280000,26.817303,3100300,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-08,30.330000,31.117500,30.120000,31.080000,27.525818,4249700,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-11,30.930000,31.410000,30.930000,31.220000,27.649808,4011700,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-12,30.990000,31.410000,30.880000,31.220000,27.649808,2969100,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-13,31.350000,31.690000,31.200000,31.580000,27.968640,2618300,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-14,31.690000,31.880000,31.420000,31.780000,28.145769,2617000,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-15,31.720000,31.970000,31.090000,31.460000,27.862363,3835100,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-19,31.380000,31.920000,31.300000,31.730000,28.101487,2161500,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-20,31.530000,31.630000,30.750000,31.220000,27.649808,2720100,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-21,31.210000,31.410000,30.660000,30.840000,27.313264,3110400,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
2010-01-22,30.800000,30.980000,30.060000,30.100000,26.657887,2590200,0.000000,1.000000,INTU,Common Stock,Intuit Inc,"Intuit Inc. is an American business that specializes in financial software. Intuit's products include the tax preparation application TurboTax, personal finance app Mint and the small business accounting program QuickBooks.",896878,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2700 COAST AVENUE, MOUNTAIN VIEW, CA, US",https://www.intuit.com,July,2025-04-30,217757204000,5331000000,63.67,2.027,72.11,4.02,0.0053,12.26,64.94,0.191,0.157,0.0857,0.178,18183999000,14595000000,12.26,-0.185,0.41,788.83,10,18,5,0,1,63.67,34.6,11.98,10.82,12.03,40.61,1.283,790.6,531.72,710.46,641.17,278947000,272277000,2.542,88.134,2025-07-18,2025-07-10
