,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2017-05-12,21.250000,21.300000,20.270000,21.100000,21.004168,10933718,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-15,21.010000,22.300000,21.010000,22.020000,21.919990,3487278,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-16,22.190000,22.410000,22.050000,22.100000,21.999626,1289339,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-17,22.150000,22.510000,21.670000,22.100000,21.999626,1583699,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-18,22.190000,23.630000,21.980000,22.500000,22.397809,4075173,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-19,22.560000,23.490000,22.320000,22.720000,22.616810,1248618,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-22,22.800000,23.090000,22.520000,22.890000,22.786038,383071,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-23,22.990000,23.610000,22.650000,23.450000,23.343495,703985,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-24,23.540000,23.593000,23.010000,23.350000,23.243949,408791,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-25,23.420000,23.820000,22.310000,22.510000,22.407764,1080743,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
2017-05-26,22.550000,23.240000,22.355000,23.030000,22.925402,721073,0.000000,1.000000,IR,Common Stock,Ingersoll Rand Inc,"Ingersoll Rand Inc., founded in 1859, is an American worldwide provider of industrial equipment, technologies and related parts and services to a broad and diverse customer base through a family of brands.",1699150,NYSE,USD,USA,TECHNOLOGY,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,"800-A BEATY STREET, DAVIDSON, NC, US",https://www.irco.com,December,2025-03-31,35093213000,1947400000,43.06,1.319,25.99,0.08,0.001,2.02,18.05,0.113,0.19,0.0539,0.0811,7281700000,3189200000,2.02,-0.08,0.028,89.13,2,7,8,0,0,43.06,25.97,4.819,3.347,5.26,20.84,1.444,105.98,65.59,81.11,89.0,403463000,402160000,0.218,99.939,2025-06-05,2025-05-15
