,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,38.100000,38.460000,37.930000,38.450000,29.278204,1728500,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-05,38.450000,39.000000,38.230000,38.960000,29.666549,1510300,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-06,38.850000,40.300000,38.800000,40.250000,30.648835,2579500,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-07,40.460000,41.940000,40.435500,41.840000,31.859559,3467400,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-08,41.630000,42.079800,41.420000,41.740000,31.783413,1917700,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-11,41.970000,42.219800,41.260000,41.310000,31.455984,1510500,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-12,40.910000,41.390000,40.330000,41.190000,31.364609,1558400,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-13,41.150000,41.420000,40.020000,40.930000,31.166629,1592400,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-14,40.920000,41.360000,40.675000,41.090000,31.288463,1056700,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
2010-01-15,40.900000,41.310000,40.040000,40.270000,30.664064,1556700,0.000000,1.000000,J,Common Stock,Jacobs Solutions Inc.,"Jacobs Engineering Group Inc. (NYSE: J) is an American international technical professional services firm. The company provides technical, professional and construction services, as well as scientific and specialty consulting for a broad range of clients globally, including companies, organizations, and government agencies.",52988,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,"155 NORTH LAKE AVENUE, PASADENA, CA, US",https://www.jacobs.com,September,2025-03-31,15933887000,1310901000,43.91,1.725,32.1,1.19,0.0097,3.02,94.29,0.0394,0.067,0.0506,0.068,11686906000,2924967000,3.02,-0.957,0.022,143.38,4,6,8,0,0,43.91,18.98,1.363,4.123,1.512,16.56,0.76,148.31,104.91,126.16,129.71,120156000,118710000,1.127,89.318,2025-06-20,2025-05-23
