,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,32.560000,33.110000,32.240000,33.060000,28.359205,1876000,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-05,33.050000,33.150000,32.460000,33.150000,28.436408,2186900,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-06,32.970000,33.300000,32.850000,32.950000,28.264846,1147200,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-07,32.880000,33.260000,32.620000,33.080000,28.376361,1272400,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-08,33.120000,34.140000,33.120000,34.040000,29.199859,2068200,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-11,34.040000,34.900000,33.980000,34.540000,29.628764,1897100,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-12,34.400000,34.460000,33.510000,33.710000,28.916781,1326500,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-13,34.210000,34.210000,33.540000,33.860000,29.045453,1371400,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-14,33.670000,34.820000,33.670000,34.700000,29.766014,1723400,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
2010-01-15,34.440000,34.830000,33.690000,34.020000,29.182703,1241200,0.000000,1.000000,JBHT,Common Stock,JB Hunt Transport Services Inc,"J.B. Hunt Transport Services, Inc. is an American transportation and logistics company based in Lowell, Arkansas.",728535,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRUCKING (NO LOCAL),"615 JB HUNT CORPORATE DR, PO BOX 130, LOWELL, AR, US",https://www.jbhunt.com,December,2025-03-31,15164871000,1573157000,27.8,2.007,38.98,1.73,0.0123,5.5,119.32,0.0465,0.0612,0.0611,0.14,12064595000,2271186000,5.5,-0.041,-0.008,152.8,3,11,11,0,0,27.8,27.47,1.257,3.922,1.384,10.57,1.296,199.24,122.4,140.13,161.15,99195000,78410000,19.519,76.339,2025-05-23,2025-05-09
