,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2010-01-04,38.130000,38.150000,37.550000,37.920000,23.552978,2816600,0.000000,1.000000
2010-01-05,37.780000,38.170000,37.201000,37.330000,23.186515,5012300,0.000000,1.000000
2010-01-06,37.320000,37.670000,37.190000,37.430000,23.248627,3784300,0.000000,1.000000
2010-01-07,37.810000,39.010000,37.180000,38.930000,24.180312,4644000,0.000000,1.000000
2010-01-08,38.760000,38.870000,37.650000,37.790000,23.472232,3930700,0.000000,1.000000
2010-01-11,38.140000,38.390000,37.660000,38.350000,23.820060,2063500,0.000000,1.000000
2010-01-12,37.870000,38.040000,36.750000,36.810000,22.863531,3468100,0.000000,1.000000
2010-01-13,37.110000,37.440000,36.700000,37.360000,23.205149,1483700,0.000000,1.000000
2010-01-14,37.440000,37.490000,36.620000,36.730000,22.813841,1820200,0.000000,1.000000
2010-01-15,36.520000,37.060000,35.910000,36.020000,22.372844,3860200,0.000000,1.000000
2010-01-19,36.020000,36.380000,35.800100,36.200000,22.484646,2361200,0.000000,1.000000
2010-01-20,35.690000,35.880000,35.300000,35.620000,22.124395,2261000,0.000000,1.000000
2010-01-21,35.820000,36.170000,34.630000,34.730000,21.571596,2916200,0.000000,1.000000
2010-01-22,35.330000,35.360000,34.070000,34.140000,21.205133,4300400,0.000000,1.000000
2010-01-25,34.440000,34.610000,34.020000,34.320000,21.316935,1993500,0.000000,1.000000
2010-01-26,34.090000,35.750000,34.090000,35.030000,21.757933,2993900,0.000000,1.000000
2010-01-27,35.000000,35.350000,34.330000,34.750000,21.584018,2651000,0.000000,1.000000
2010-01-28,35.010000,35.190000,34.460000,34.800000,21.615074,2527100,0.000000,1.000000
2010-01-29,34.920000,35.660000,34.520000,34.540000,21.453582,2197600,0.000000,1.000000
2010-02-01,34.840000,35.240000,34.420000,35.190000,21.857312,3086200,0.000000,1.000000
2010-02-02,35.220000,36.560000,35.090000,36.420000,22.621293,3353700,0.000000,1.000000
2010-02-03,36.050000,36.240000,35.445000,36.050000,22.391478,2986400,0.000000,1.000000
2010-02-04,36.590000,36.690000,35.060000,35.110000,21.807623,6400400,0.000000,1.000000
2010-02-05,34.300000,34.480000,32.781000,33.940000,21.080909,5510000,0.000000,1.000000
2010-02-08,34.270000,34.850000,33.700000,34.000000,21.118176,4291100,0.000000,1.000000
2010-02-09,34.510000,34.750000,33.990000,34.110000,21.186500,4490800,0.000000,1.000000
2010-02-10,34.030000,34.340000,33.420000,33.610000,20.875938,2645800,0.000000,1.000000
2010-02-11,33.480000,33.830000,33.280000,33.810000,21.000163,3205800,0.000000,1.000000
2010-02-12,33.330000,34.352500,33.290000,34.200000,21.242401,2623000,0.000000,1.000000
2010-02-16,34.840000,35.180000,34.430000,35.080000,21.788989,2790300,0.000000,1.000000
2010-02-17,35.350000,35.600000,35.000000,35.120000,21.813834,1438200,0.000000,1.000000
2010-02-18,34.950000,35.090000,34.620000,35.020000,21.751721,1605500,0.000000,1.000000
2010-02-19,35.250000,36.240000,35.170000,35.700000,22.174085,4429700,0.000000,1.000000
2010-02-22,36.110000,36.350000,35.910000,36.130000,22.441168,4440000,0.000000,1.000000
2010-02-23,35.230000,36.390000,35.130000,36.190000,22.478435,6205500,0.000000,1.000000
2010-02-24,36.230000,36.630000,36.070000,36.590000,22.826264,2283600,0.160000,1.000000
2010-02-25,35.990000,37.000000,35.750000,36.880000,23.007177,2658300,0.000000,1.000000
2010-02-26,36.900000,37.180000,36.620000,36.940000,23.044608,1842500,0.000000,1.000000
2010-03-01,36.860000,37.800000,36.700000,37.590000,23.450103,2441100,0.000000,1.000000
2010-03-02,37.730000,38.000000,37.580000,37.700000,23.518725,2028100,0.000000,1.000000
