,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2015-07-06,71.000000,74.290000,71.000000,72.960000,47.177764,3809713,16.500000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-07,73.730000,74.710000,72.960000,74.630000,48.257627,5794811,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-08,74.300000,75.500000,74.040000,75.400000,48.755529,4277461,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-09,76.470000,77.066000,74.500000,74.800000,48.367554,4267057,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-10,75.050000,77.800000,75.000000,77.310000,49.990582,4982979,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-13,79.500000,79.700000,77.910000,78.830000,50.973453,9078901,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-14,79.450000,79.500000,77.650000,78.000000,50.436754,18746119,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-15,77.650000,78.170000,76.400000,76.710000,49.602607,6330496,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-16,76.970000,78.840000,76.950100,78.750000,50.921723,5634050,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
2015-07-17,79.430000,79.690000,77.260000,79.630000,51.490753,6100876,0.000000,1.000000,KHC,Common Stock,Kraft Heinz Co,"The Kraft Heinz Company (KHC), commonly known as Kraft Heinz, is an American food company formed by the merger of Kraft Foods and Heinz, co-headquartered in Chicago, Illinois, and Pittsburgh, Pennsylvania.",1637459,NASDAQ,USD,USA,MANUFACTURING,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","ONE PPG PLACE, PITTSBURGH, PA, US",https://www.kraftheinzcompany.com,December,2025-03-31,31553176000,6369000000,12.17,0.982,41.56,1.6,0.062,2.19,21.11,0.104,0.205,0.0375,0.0535,25433999000,8794000000,2.19,-0.106,-0.064,31.67,0,3,16,2,2,12.17,10.21,1.241,0.638,1.98,18.59,0.231,35.08,25.44,27.18,30.4,1183540000,851109000,27.805,59.400,2025-06-27,2025-05-30
