,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,31.300000,32.340000,31.300000,32.330000,18.844023,600700,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-05,32.140000,33.220000,31.980000,33.120000,19.304486,771600,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-06,33.010000,34.090000,32.860000,33.790000,19.695005,1121300,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-07,33.630000,34.040000,33.090000,33.160000,19.327801,1023200,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-08,32.970000,33.230000,32.490000,33.130000,19.310315,799800,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-11,33.170000,33.370000,32.570000,33.060000,19.269514,578000,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-12,32.610000,32.810000,31.690000,32.130000,18.727450,564600,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-13,32.190000,32.580000,31.640000,32.390000,18.878995,516600,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-14,32.320000,32.690000,31.960000,32.200000,18.768250,806200,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
2010-01-15,32.230000,32.350000,31.140000,31.250000,18.214529,730800,0.000000,1.000000,LAMR,Common Stock,Lamar Advertising Company,"Founded in 1902, Lamar Advertising (Nasdaq: LAMR) is one of the largest outdoor advertising companies in North America, with more than 357,500 displays in the United States and Canada. ",1090425,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"C/O LAMAR ADVERTISING COMPANY, 5321 CORPORATE BOULEVARD, BATON ROUGE, LA, US",https://www.lamar.com,December,2025-03-31,12719910000,996612000,30.23,7.43,10.06,5.65,0.0511,4.11,21.7,0.19,0.241,0.0508,0.383,2220416000,1488189000,4.11,0.776,0.017,129.2,0,1,5,0,0,30.23,29.5,5.73,10.33,6.26,12.92,1.376,134.38,98.54,118.44,123.48,87970000,87020000,0.796,98.606,2025-06-30,2025-06-16
