,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,22.130000,22.380000,21.920000,22.000000,8.744720,4363700,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-05,22.000000,22.020000,21.820000,21.980000,8.736770,4396200,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-06,21.990000,23.530000,21.830000,23.260000,9.245554,10925500,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-07,23.280000,23.590000,23.130000,23.260000,9.245554,7642400,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-08,23.220000,24.070000,22.890000,23.940000,9.515845,3704200,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-11,23.850000,24.130000,23.560000,23.690000,9.416473,4849800,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-12,23.490000,23.520000,23.030000,23.160000,9.205805,2609200,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-13,23.160000,23.500000,22.930000,23.210000,9.225679,3840400,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-14,23.050000,23.300000,22.820000,23.040000,9.158107,3980100,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
2010-01-15,23.050000,23.140000,22.620000,22.750000,9.042835,2309200,0.000000,1.000000,LBTYA,Common Stock,Liberty Global PLC,"Liberty Global plc provides broadband Internet, video, landline telephony and mobile communications services to residential and business customers. The company is headquartered in London, the United Kingdom.",1570585,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"161 HAMMERSMITH ROAD, HAMMERSMITH, GB",https://www.libertyglobal.com,December,2025-03-31,3476608000,1037700000,None,1.61,36.44,None,None,-0.62,12.3,-0.0586,0.0518,0.0005,-0.0057,4421800000,2962200000,-0.62,-0.678,0.073,14.67,1,5,9,1,1,-,57.47,0.786,0.272,2.615,8.65,0.966,14.29,9.03,9.88,13.24,173797000,274901000,3.913,94.132,None,None
