,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,68.970000,69.810000,68.000000,69.360000,27.775543,690900,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-05,70.300000,72.050000,70.120000,71.730000,28.724620,1361100,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-06,71.920000,73.280000,71.740000,72.420000,29.000934,1641400,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-07,73.050000,73.300000,71.900000,72.210000,28.916839,716400,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-08,72.780000,73.730000,72.300000,72.480000,29.024961,1469000,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-11,72.700000,72.940000,71.890000,72.130000,28.884802,1344800,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-12,72.120000,72.120000,70.110000,71.030000,28.444302,711100,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-13,72.010000,72.400000,69.700000,71.340000,28.568443,1603400,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-14,70.860000,71.770000,70.810000,71.390000,28.588466,1021900,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
2010-01-15,71.310000,71.690000,71.040000,71.250000,28.532402,482600,0.000000,1.000000,LEA,Common Stock,Lear Corporation,"Lear Corporation designs, develops, designs, manufactures, assembles, and supplies automotive seats, electrical distribution systems, and related components for automotive original equipment manufacturers in North America, Europe, Africa, Asia, and South America. The company is headquartered in Southfield, Michigan.",842162,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"21557 TELEGRAPH ROAD, SOUTHFIELD, MI, US",https://www.lear.com,December,2025-03-31,5537750000,1647500000,12.1,0.358,87.13,3.08,0.0324,8.56,413.54,0.0209,0.0464,0.0438,0.116,22871699000,1760700000,8.56,-0.216,-0.072,104.7,3,3,10,0,0,12.1,8.73,0.242,1.189,0.329,5.26,1.3,122.94,73.21,91.09,95.11,53464000,53137000,0.577,108.259,2025-06-25,2025-06-05
