,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,19.190000,19.290000,18.830000,18.920000,18.920000,190400,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-05,18.970000,19.010000,18.220000,18.330000,18.330000,140800,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-06,18.300000,19.470000,18.150000,19.360000,19.360000,457600,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-07,19.360000,19.610000,19.060000,19.590000,19.590000,286600,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-08,19.430000,19.440000,18.890300,19.430000,19.430000,209500,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-11,19.370000,19.560000,18.730000,18.960000,18.960000,237000,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-12,18.920000,19.150000,18.760000,18.800000,18.800000,238700,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-13,18.880000,19.250000,18.760000,19.170000,19.170000,139200,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-14,19.090000,19.510000,18.980000,19.440000,19.440000,146100,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
2010-01-15,19.490000,19.490000,19.130000,19.370000,19.370000,153000,0.000000,1.000000,LOPE,Common Stock,Grand Canyon Education Inc,"Grand Canyon Education, Inc. provides educational services to colleges and universities in the United States. The company is headquartered in Phoenix, Arizona.",1434588,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-EDUCATIONAL SERVICES,"2600 W. CAMELBACK ROAD, PHOENIX, AZ, US",https://www.gce.com,December,2025-03-31,5204734000,318193000,23.04,1.398,27.79,None,None,7.96,36.37,0.219,0.304,0.17,0.298,1047637000,552591000,7.96,0.1,0.053,217.33,2,1,0,0,0,23.04,20.96,4.968,6.67,4.778,15.08,0.802,202.28,130.69,189.07,169.2,28374500,27340500,2.058,100.716,None,None
