,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-11-18,33.050000,33.840000,32.030000,32.150000,24.883320,10095400,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-19,31.800000,32.840000,31.750000,32.600000,25.231609,753400,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-22,32.440000,32.490000,32.040000,32.200000,24.922018,379400,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-23,32.010000,33.000000,31.500000,32.760000,25.355445,288400,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-24,32.900000,33.010000,32.265000,32.940000,25.494760,66300,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-26,32.130000,32.940000,32.120000,32.900000,25.463801,123600,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-29,33.130000,33.620000,32.860000,33.560000,25.974625,336200,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-11-30,33.375000,34.280000,33.180000,33.900000,26.237777,662900,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-12-01,33.540000,35.445000,33.350000,35.010000,27.096890,359800,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
2010-12-02,34.720000,35.120000,34.220000,34.700000,26.856958,241900,0.000000,1.000000,LPLA,Common Stock,LPL Financial Holdings Inc,"LPL Financial Holdings Inc., provides an integrated platform of brokerage and investment advisory services to independent financial advisers and financial advisers at financial institutions in the United States. The company is headquartered in San Diego, California.",1397911,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","4707 EXECUTIVE DRIVE, SAN DIEGO, CA, US",https://www.lpl.com,December,2025-03-31,30719463000,2110784000,26.6,1.807,41.89,1.2,0.0032,14.44,172.59,0.0844,0.127,0.0871,0.404,12896160000,4307569000,14.44,0.107,0.293,416.77,5,7,2,0,1,26.6,22.22,2.382,9.83,2.672,15.92,0.662,389.93,186.4,364.99,325.54,79976000,79400000,0.539,98.543,2025-06-12,2025-05-30
