,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,257.990000,258.200000,256.070000,256.840000,23.688396,932100,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-05,257.840000,257.960000,253.050000,256.080000,23.618301,1290600,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-06,256.240000,256.240000,252.500000,255.560000,23.584176,1078500,0.150000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-07,253.400000,254.060000,250.980000,253.890000,23.430061,1127300,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-08,252.330000,254.920000,251.700000,253.980000,23.438366,863500,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-11,254.570000,255.364000,247.880000,249.800000,23.052618,1117100,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-12,249.590000,252.938500,248.560000,249.660000,23.039698,859500,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-13,251.810000,256.240000,249.660000,256.150000,23.638623,858500,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-14,256.250000,261.840000,254.500000,260.480000,24.038214,1243300,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
2010-01-15,261.810000,265.880000,260.550000,262.650000,24.238471,1941900,0.000000,1.000000,MA,Common Stock,Mastercard Inc,"Mastercard Incorporated is an American multinational financial services corporation headquartered in the Mastercard International Global Headquarters in Purchase, New York. The Global Operations Headquarters is located in O'Fallon, Missouri, a municipality of St. Charles County, Missouri. Throughout the world, its principal business is to process payments between the banks of merchants and the card-issuing banks or credit unions of the purchasers who use the Mastercard brand debit, credit and prepaid cards to make purchases. Mastercard Worldwide has been a publicly traded company since 2006.",1141391,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","2000 PURCHASE STREET, PURCHASE, NY, US",https://www.mastercard.com,December,2025-03-31,516916576000,17977999000,39.83,2.283,7.33,2.84,0.0054,14.29,31.61,0.452,0.593,0.234,1.877,29069001000,29069001000,14.29,0.115,0.142,621.58,10,20,10,0,1,39.83,35.71,17.78,77.49,18.16,30.4,1.052,594.71,426.97,565.59,536.05,901263000,900039000,0.512,90.280,2025-08-08,2025-07-09
