,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,48.920000,49.060000,47.940000,48.190000,26.869725,385800,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-05,48.100000,48.370000,47.700000,48.150000,26.847422,369900,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-06,48.200000,48.480000,47.950000,48.310000,26.936635,369100,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-07,48.090000,48.720000,47.600000,48.540000,27.064878,647600,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-08,48.300000,48.740000,48.050000,48.220000,26.886453,366400,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-11,48.480000,48.820000,48.230000,48.470000,27.025848,461400,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-12,48.160000,48.550000,47.830000,48.090000,26.813968,501100,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-13,47.560000,48.400000,47.470000,48.230000,27.234940,301900,0.615000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-14,47.940000,48.360000,47.770000,48.120000,27.172824,222400,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
2010-01-15,48.040000,48.330000,47.360000,47.480000,26.811423,400500,0.000000,1.000000,MAA,Common Stock,Mid-America Apartment Communities Inc,"Mid-America Apartment Communities (MAA) is a publicly traded real estate investment trust based in Memphis, Tennessee that invests in apartments in the Southeastern United States and the Southwestern United States.",912595,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"6815 POPLAR AVENUE, SUITE 500, GERMANTOWN, TN, US",https://www.maac.com,December,2025-03-31,18074155000,1246050000,31.22,10.19,50.89,5.92,0.0409,4.82,18.8,0.257,0.29,0.0349,0.0937,2196688000,1300422000,4.82,0.262,0.01,170.04,6,8,10,2,0,31.22,40.65,8.23,2.948,10.29,16.72,0.778,171.72,132.14,155.32,156.99,117058000,116014000,0.671,100.424,2025-07-31,2025-07-15
