,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,26.940000,27.275000,26.820000,27.270000,22.613639,1859700,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-05,27.160000,27.300000,26.680000,26.990000,22.381449,1982400,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-06,26.600000,26.900000,26.410000,26.420000,21.908777,2019100,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-07,26.320000,26.520000,26.250000,26.340000,21.842437,3805600,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-08,26.200000,26.850000,26.120000,26.840000,22.257062,2144200,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-11,26.880000,26.950000,26.500000,26.680000,22.124382,1459600,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-12,26.530000,26.920000,26.310000,26.820000,22.240477,2884300,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-13,26.920000,27.760000,26.650000,27.680000,22.953632,3141900,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-14,27.660000,27.800000,27.090000,27.780000,23.036557,2353700,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
2010-01-15,27.670000,27.770000,27.240000,27.420000,22.738027,2439400,0.000000,1.000000,MCO,Common Stock,Moodys Corporation,"Moody's Corporation, often referred to as Moody's, is an American business and financial services company. It is the holding company for Moody's Investors Service (MIS), an American credit rating agency, and Moody's Analytics (MA), an American provider of financial analysis software and services.",1059556,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES","7 WORLD TRADE CENTER, AT 250 GREENWICH STREET, NEW YORK, NY, US",https://www.moodys.com,December,2025-03-31,90879484000,3320000000,43.65,2.796,20.56,3.49,0.0075,11.57,39.89,0.291,0.459,0.127,0.555,7226000000,5257000000,11.57,0.098,0.077,502.9,3,10,11,0,1,43.65,38.02,12.58,24.56,13.26,27.1,1.384,529.91,377.98,475.73,474.86,179938000,166448000,13.835,79.683,2025-06-06,2025-05-16
