,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,35.880000,36.340000,35.460000,36.300000,18.158673,4767000,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-05,36.080000,37.230000,36.011900,37.140000,18.578874,5604300,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-06,37.120000,37.600000,36.810000,37.520000,18.768965,4208600,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-07,37.260000,38.110000,37.020000,38.050000,19.034091,6297700,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-08,37.800000,38.270000,37.440000,38.250000,19.134139,4808800,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-11,38.650000,38.900000,38.210000,38.500000,19.259199,7141900,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-12,39.000000,39.310000,38.350000,38.510000,19.264201,6480200,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-13,38.590000,38.870000,37.640000,37.920000,18.969060,6664900,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-14,37.880000,38.440000,37.070000,38.280000,19.149146,5642000,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-15,38.030000,38.030000,37.340000,37.850000,18.934043,7618300,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-19,37.870000,40.310000,37.640000,39.350000,19.684402,14774700,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-20,38.940000,39.000000,38.000000,38.700000,19.359247,6822800,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-21,37.800000,38.450000,36.610000,37.350000,18.683924,11330500,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-22,37.220000,37.310000,35.980000,36.120000,18.068630,8264100,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-25,36.630000,37.120000,36.290000,36.410000,18.213699,4629500,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-26,35.980000,36.880000,35.570000,35.730000,17.873537,4872400,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-27,35.740000,36.550000,35.320000,36.400000,18.208697,5668900,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-28,36.470000,36.610000,35.320000,35.630000,17.823513,5061100,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-01-29,36.040000,36.330000,35.160000,35.320000,17.668439,4910100,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-01,36.100000,36.790000,35.690000,35.940000,17.978587,4719400,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-02,36.490000,36.640000,35.650000,36.370000,18.193690,6344700,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-03,35.390000,35.600000,34.320000,34.800000,17.408315,15039800,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-04,35.130000,35.360000,34.330000,34.730000,17.373298,13309300,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-05,35.030000,35.350000,33.570000,34.680000,17.348286,10360600,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
2010-02-08,34.610000,34.650000,33.600000,33.640000,16.828038,6369200,0.000000,1.000000,MET,Common Stock,MetLife Inc,"MetLife, Inc. is the holding corporation for the Metropolitan Life Insurance Company (MLIC), better known as MetLife, and its affiliates. MetLife is among the largest global providers of insurance, annuities, and employee benefit programs, with 90 million customers in over 60 countries.",1099219,NYSE,USD,USA,FINANCE,LIFE INSURANCE,"200 PARK AVENUE, NEW YORK, NY, US",https://www.metlife.com,December,2025-03-31,54140183000,7555000000,13.18,1.115,40.83,2.18,0.0282,6.12,105.57,0.0613,0.103,0.0063,0.16,73494004000,18961000000,6.12,0.164,0.156,92.71,5,7,4,0,0,13.18,8.81,0.737,1.969,0.961,-,0.839,87.83,64.73,78.57,81.14,671298000,559809000,16.548,75.303,2025-06-10,2025-05-06
