,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,9.430000,9.750000,9.310000,9.730000,9.180507,24670100,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-05,9.820000,10.590000,9.800000,10.500000,9.907022,49268000,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-06,10.440000,10.450000,10.140000,10.140000,9.567352,21539900,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-07,10.010000,10.810000,9.980000,10.800000,10.190079,30219400,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-08,10.700000,10.870000,10.450000,10.600000,10.001374,17728500,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-11,10.810000,11.280000,10.800000,10.900000,10.284432,34876800,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-12,11.450000,12.000000,11.380000,11.950000,11.275134,64444400,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-13,12.180000,12.430000,11.700000,12.390000,11.690285,47281900,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-14,12.370000,12.870000,12.220000,12.380000,11.680850,37690800,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
2010-01-15,12.410000,12.540000,11.910000,12.090000,11.407228,32463700,0.000000,1.000000,MGM,Common Stock,MGM Resorts International,MGM Resorts International is an American global hospitality and entertainment company operating destination resorts globally.,789570,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,HOTELS & MOTELS,"3600 LAS VEGAS BLVD S, LAS VEGAS, NV, US",https://www.mgmresorts.com,December,2025-03-31,10230081000,2446169000,16.78,2.046,10.2,None,None,2.24,57.29,0.0396,0.0967,0.0235,0.258,17134157000,7781542000,2.24,-0.239,-0.024,45.67,3,14,4,0,0,16.78,16.67,0.597,3.585,2.301,16.77,1.767,47.26,25.3,32.93,34.64,272149000,204245000,24.887,69.948,2022-12-15,2022-12-08
