,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,14.130000,14.400000,14.070000,14.190000,11.602279,68800,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-05,14.100000,14.150000,13.610000,13.680000,11.185284,66100,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-06,13.700000,14.070000,13.050000,14.020000,11.463281,226400,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-07,14.040000,14.260000,13.800000,14.120000,11.545045,74700,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-08,14.020000,14.670000,14.020000,14.580000,11.921158,187600,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-11,14.650000,14.690000,14.470000,14.520000,11.872100,32900,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-12,14.500000,14.700000,14.420000,14.540000,11.888452,58400,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-13,14.580000,14.940000,14.470000,14.490000,11.847570,142500,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-14,14.460000,14.700000,14.380000,14.530000,11.880276,56000,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
2010-01-15,14.590000,14.590000,13.890000,14.290000,11.684043,145300,0.000000,1.000000,MKTX,Common Stock,MarketAxess Holdings Inc,"MarketAxess Holdings Inc. (MarketAxess) is an international financial technology company that operates an electronic trading platform for the institutional credit markets, and also provides market data and post-trade services.",1278021,NASDAQ,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 HUDSON YARDS, 15TH FLOOR, NEW YORK, NY, US",https://www.marketaxess.com,December,2025-03-31,8127743000,410612000,37.56,2.967,35.86,2.98,0.0136,5.77,21.74,0.266,0.424,0.111,0.163,815355000,506050000,5.77,-0.792,-0.008,238.23,2,4,8,0,1,37.56,28.49,9.97,6.03,9.37,17.29,0.842,293.7,186.2,220.84,232.84,37501700,36759900,2.250,101.876,2025-06-04,2025-05-21
