,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2011-06-23,38.000000,39.000000,36.500000,39.000000,13.004256,2548771,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-06-24,38.750000,39.150000,36.840000,37.250000,12.420731,837700,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-06-27,36.690000,37.950000,36.590000,37.650000,12.554108,447600,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-06-28,38.340000,39.990000,37.700000,38.700000,12.904223,2075900,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-06-29,39.000000,40.970000,38.700000,40.070000,13.361039,1847600,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-06-30,40.670000,42.000000,40.175000,41.400000,13.804517,1512800,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-07-01,41.200000,47.430000,41.000000,42.200000,14.071271,4167100,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-07-05,42.210000,43.000000,41.650000,42.210000,14.074606,5911500,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-07-06,41.600000,42.250000,41.010000,41.890000,13.967904,5491500,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
2011-07-07,42.190000,43.260000,41.705000,41.780000,13.931226,8353800,0.000000,1.000000,MPC,Common Stock,Marathon Petroleum Corp,"Marathon Petroleum Corporation is an American petroleum refining, marketing, and transportation company headquartered in Findlay, Ohio.",1510295,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"539 SOUTH MAIN STREET, FINDLAY, OH, US",https://www.marathonpetroleum.com,December,2025-03-31,54085030000,7942000000,24.28,2.994,53.06,3.555,0.0219,7.25,420.64,0.0176,0.0143,0.0347,0.155,137968992000,11962000000,7.25,-0.704,-0.041,166.86,5,7,8,0,0,24.28,24.04,0.392,3.299,0.599,8.81,0.868,179.33,114.45,157.93,151.3,307214000,306314000,0.272,76.710,2025-06-10,2025-05-21
