,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,36.820000,37.250000,36.550000,37.010000,21.015113,13896500,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-05,37.300000,37.450000,36.930000,37.160000,21.100286,14744800,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-06,37.210000,37.730000,36.900000,37.660000,21.384198,15239900,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-07,37.470000,37.900000,37.400000,37.720000,21.418267,11916600,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-08,37.870000,37.890000,37.430000,37.700000,21.406910,10767100,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-11,37.880000,37.920000,37.500000,37.850000,21.492084,9581800,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-12,37.820000,37.990000,37.320000,37.550000,21.321737,10921700,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-13,38.310000,39.370000,38.100000,38.930000,22.105332,25375400,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-14,39.240000,40.120000,39.100000,39.990000,22.707224,22024300,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
2010-01-15,39.980000,40.270000,39.010000,39.470000,22.411956,20853300,0.000000,1.000000,MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",https://www.merck.com,December,2025-03-31,203217666000,28795001000,11.76,0.742,19.21,3.12,0.0409,6.88,25.27,0.273,0.401,0.138,0.393,63922000000,49265000000,6.88,0.075,-0.016,101.79,3,12,11,0,0,11.76,9.05,3.179,4.204,3.58,8.78,0.396,125.69,72.58,79.28,93.24,2511030000,2507089000,0.064,80.622,2025-07-08,2025-06-16
