,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,67.630000,67.650000,66.320000,67.010000,42.841188,721000,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-05,66.800000,68.390000,66.700000,68.210000,43.608378,779200,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-06,68.430000,70.900000,68.150000,70.490000,45.066040,1355100,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-07,70.580000,73.670000,70.130000,73.120000,46.747466,1827000,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-08,72.560000,74.350000,72.430000,73.840000,47.207780,1381700,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-11,73.940000,74.180000,72.970000,73.140000,46.760252,550400,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-12,72.720000,73.000000,71.300000,71.690000,45.833230,779500,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-13,71.750000,74.150000,70.890000,73.620000,47.067128,1475700,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-14,73.610000,75.680000,73.470000,75.340000,48.166768,942900,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-15,74.900000,75.280000,72.940000,73.160000,46.773039,1404200,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-19,73.210000,75.150000,72.460000,74.700000,47.757600,1286100,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-20,73.650000,78.320000,73.650000,77.690000,49.669182,3381000,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-21,77.800000,80.310000,77.800000,78.590000,50.244575,2716300,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-22,78.370000,78.600000,75.270000,75.590000,48.326599,1646200,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-25,76.370000,76.840000,73.780000,75.000000,47.949397,1181900,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-26,74.460000,75.520000,73.270000,73.730000,47.137454,1468300,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-27,73.830000,76.650000,73.520000,76.300000,48.780520,1356600,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-28,76.340000,77.100000,75.250000,75.720000,48.409711,1040700,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-01-29,75.900000,76.040000,73.500000,73.750000,47.150241,1837500,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-01,74.230000,75.260000,74.230000,74.900000,47.885465,857400,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-02,75.130000,75.800000,74.450000,75.000000,47.949397,667400,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-03,74.460000,74.490000,72.080000,72.170000,46.140107,1246000,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-04,71.780000,71.910000,69.910000,70.640000,45.161939,2136400,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-05,70.650000,72.750000,70.090000,72.670000,46.459769,1775800,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-08,72.310000,72.640000,71.080000,71.290000,45.577500,853000,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-09,71.990000,72.990000,71.370000,71.990000,46.025028,595900,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-10,72.000000,73.370000,71.710000,72.670000,46.459769,574100,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-11,72.790000,72.870000,71.890000,72.400000,46.287151,429900,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-12,71.750000,72.190000,70.890000,72.070000,46.076174,830700,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
2010-02-16,73.040000,75.340000,72.770000,75.120000,48.026116,1116600,0.000000,1.000000,MTB,Common Stock,M&T Bank Corporation,"M&T Bank Corporation is an American bank holding company headquartered in Buffalo, New York.",36270,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"C/O CORPORATE REPORTING, ONE M&T PLAZA 5TH FLOOR, BUFFALO, NY, US",https://www.mtb.com,December,2025-03-31,32517331000,None,13.57,31.71,163.63,5.4,0.0278,14.93,52.95,0.301,0.366,0.0124,0.0941,8785000000,8785000000,14.93,0.099,0.056,203.78,3,9,8,1,0,13.57,12.69,3.701,1.223,5.04,-,0.61,221.09,142.58,182.18,187.88,160516000,159683000,0.399,88.708,2025-06-30,2025-06-02
