,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,19.920000,20.425000,19.900000,20.240000,5.415954,2171500,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-05,19.930000,20.320000,19.930000,20.300000,5.432009,1481700,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-06,20.200000,20.360000,20.160000,20.290000,5.429333,2446700,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-07,20.250000,20.300000,19.890000,20.020000,5.357085,2832800,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-08,20.030000,20.300000,19.880000,20.230000,5.413278,1449200,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-11,20.240000,20.400000,20.100000,20.280000,5.426657,1788100,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-12,20.160000,20.300000,19.820000,19.930000,5.333002,1732800,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-13,19.850000,20.150000,19.750000,20.120000,5.383843,2277300,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-14,20.020000,20.290000,19.930000,20.250000,5.418630,1497900,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
2010-01-15,20.220000,20.400000,20.030000,20.160000,5.394547,2327300,0.000000,1.000000,NDAQ,Common Stock,Nasdaq Inc,"Nasdaq, Inc. is an American multinational financial services corporation that owns and operates stock exchanges in the United States and Europe. It is headquartered in New York City.",1120193,NASDAQ,USD,USA,FINANCE,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES","151 W. 42ND STREET, NEW YORK, NY, US",https://www.nasdaq.com,December,2025-03-31,51711169000,2736000000,40.76,1.807,20.12,0.96,0.0121,2.21,13.59,0.164,0.274,0.0435,0.114,7816000000,4769000000,2.21,0.7,0.249,84.83,7,6,5,0,1,40.76,28.49,6.62,4.479,7.53,22.42,1.013,90.35,59.51,82.81,78.47,574122000,511904000,10.722,84.241,2025-06-27,2025-06-13
