,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,21.450000,21.655000,21.160000,21.370000,10.076211,638700,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-05,21.400000,21.410000,21.100000,21.310000,10.047921,545300,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-06,21.240000,21.530000,21.240000,21.510000,10.142223,730800,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-07,21.420000,21.670000,21.180000,21.600000,10.184659,651900,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-08,21.500000,21.620000,21.190000,21.290000,10.038491,599300,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-11,21.490000,21.490000,21.270000,21.410000,10.095072,594200,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-12,21.230000,21.420000,21.010000,21.150000,9.972479,873100,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-13,21.250000,21.410000,21.100000,21.340000,10.062066,764100,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-14,21.230000,21.330000,20.960000,21.100000,9.948903,705800,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
2010-01-15,21.000000,21.130000,20.750000,20.950000,9.878176,850100,0.000000,1.000000,NNN,Common Stock,National Retail Properties Inc,National Retail Properties invests primarily in high-quality retail properties generally subject to long-term net leases. ,751364,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"450 S ORANGE AVE, SUITE 900, ORLANDO, FL, US",https://www.nnnreit.com,December,2025-03-31,8177748000,804773000,20.33,4.92,23.23,2.305,0.0537,2.14,4.783,0.451,0.623,0.0389,0.0935,884713000,850175000,2.14,-0.016,0.072,44.18,3,1,12,0,2,20.33,21.55,9.24,1.877,14.31,15.07,0.916,47.55,35.3,41.94,42.59,187951000,186030000,0.900,92.507,2025-05-15,2025-04-30
