,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2012-06-29,23.750000,24.750000,22.830000,24.600000,24.600000,10922400,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-02,24.750000,25.200000,24.100000,24.770000,24.770000,656700,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-03,24.850000,25.320000,24.600000,25.310000,25.310000,401100,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-05,25.500000,26.260000,25.140000,25.960000,25.960000,541000,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-06,25.750000,26.120000,25.100000,25.840000,25.840000,355100,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-09,25.960000,26.300000,25.180000,25.270000,25.270000,152400,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-10,25.220000,25.694000,25.050000,25.050000,25.050000,304000,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-11,25.020000,25.350000,23.490000,23.736000,23.736000,296500,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-12,23.300000,24.470000,22.620000,24.080000,24.080000,325500,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
2012-07-13,24.690000,24.920000,23.980000,24.180000,24.180000,89100,0.000000,1.000000,NOW,Common Stock,ServiceNow Inc,"ServiceNow is an American software company based in Santa Clara, California that develops a cloud computing platform to help companies manage digital workflows for enterprise operations.",1373715,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2225 LAWSON LANE, SANTA CLARA, CA, US",https://www.servicenow.com,December,2025-03-31,216409604000,2110000000,140.79,2.328,48.99,None,None,7.42,55.6,0.134,0.146,0.0492,0.169,11469000000,9051000000,7.42,0.317,0.186,1089.63,10,31,5,1,0,140.79,62.89,18.87,21.34,18.5,85.4,0.956,1198.09,678.66,997.09,970.63,207152000,206420000,0.187,91.367,None,None
