,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,34.590000,34.869900,34.000000,34.190000,25.478829,5320100,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-05,34.100000,34.350000,33.380000,33.590000,25.031701,7933900,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-06,33.470000,33.990000,33.100000,33.350000,24.852850,5193900,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-07,33.240000,33.530000,32.990000,33.270000,24.793233,5373000,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-08,33.120000,33.585000,32.780000,33.540000,24.994441,4718400,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-11,33.540000,33.750000,32.730000,32.940000,24.547313,5526800,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-12,32.800000,33.020000,32.050000,32.450000,24.182159,7329600,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-13,32.710000,33.870000,32.700000,33.730000,25.136031,6933200,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-14,33.630000,34.250000,33.600000,33.650000,25.076414,5474000,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
2010-01-15,33.880000,34.000000,32.990000,33.150000,24.703808,5337800,0.000000,1.000000,NTAP,Common Stock,NetApp Inc,"NetApp, Inc. is an American hybrid cloud data services and data management company headquartered in Sunnyvale, California. Founded in 1992 with an IPO in 1995, NetApp offers cloud data services for management of applications and data both online and physically.",1002047,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"1395 CROSSMAN AVENUE, SUNNYVALE, CA, US",https://www.netapp.com,April,2025-04-30,21491257000,1640000000,18.92,1.548,5.17,2.08,0.0195,5.67,32.22,0.18,0.228,0.086,1.085,6572000000,4613000000,5.67,0.195,0.038,114.39,4,3,13,0,0,18.92,13.93,3.27,20.66,3.216,12.51,1.414,133.33,71.49,99.35,109.95,200366000,199140000,0.527,95.451,2025-07-23,2025-07-03
