,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,52.090000,52.750000,52.090000,52.530000,35.353379,1967200,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-05,52.000000,52.740000,52.000000,52.460000,35.306268,2126100,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-06,52.330000,52.600000,51.630000,51.700000,34.794778,2241300,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-07,51.540000,52.340000,51.400000,52.190000,35.124554,2001100,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-08,51.950000,52.560000,51.700000,52.420000,35.279347,1367800,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-11,51.620000,52.080000,50.410000,51.040000,34.350589,2925300,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-12,50.840000,51.700000,50.580000,50.950000,34.290018,2018900,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-13,51.130000,51.760000,50.730000,51.550000,34.693826,1517300,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-14,51.380000,51.660000,51.000000,51.300000,34.525573,2012600,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
2010-01-15,51.280000,51.760000,50.810000,51.550000,34.693826,2052000,0.000000,1.000000,NTRS,Common Stock,Northern Trust Corporation,"Northern Trust Corporation is a financial services company headquartered in Chicago, Illinois that caters to corporations, institutional investors, and ultra high net worth individuals.",73124,NASDAQ,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"50 S LASALLE ST, CHICAGO, IL, US",https://www.northerntrust.com/asia-pac/home,December,2025-03-31,25620787000,None,12.3,82.31,61.65,3,0.0237,10.71,43.12,0.258,0.269,0.0138,0.177,8577100000,8577100000,10.71,0.983,0.171,108.68,1,1,8,2,2,12.3,16.47,2.987,2.136,4.638,-,1.235,133,78.41,107.75,103.21,194539000,191533000,0.715,87.019,2025-07-01,2025-06-06
