,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,4.050000,4.050000,3.810000,3.950000,2.965636,39300,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-05,4.030000,4.030000,3.960000,4.010000,3.010684,3300,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-06,3.999500,4.080000,3.970000,3.980000,2.988160,8700,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-07,3.970100,4.040000,3.950000,4.010000,3.010684,18200,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-08,4.010000,4.050000,3.980000,4.020100,3.018267,6700,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-11,4.020000,4.070000,3.960000,4.050000,3.040715,15300,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-12,4.000000,4.090000,3.920000,4.000000,3.003176,10400,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-13,4.000000,4.020000,3.920000,3.980000,2.988160,48800,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-14,3.960000,4.040000,3.955000,4.030000,3.025699,7200,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
2010-01-15,4.000000,4.110000,3.930000,4.100000,3.078255,20600,0.000000,1.000000,NXST,Common Stock,Nexstar Broadcasting Group Inc,"Nexstar Media Group, Inc., a broadcast television and digital media company, focuses on the acquisition, development and operation of television stations and interactive community websites and digital media services in the United States. The company is headquartered in Irving, Texas.",1142417,NASDAQ,USD,USA,TECHNOLOGY,TELEVISION BROADCASTING STATIONS,"5215 N. O'CONNOR BLVD., SUITE 1400, IRVING, TX, US",https://www.nexstar.tv,December,2025-03-31,5465091000,1745000000,9.24,0.579,74.02,6.93,0.043,19.61,169.62,0.122,0.185,0.0677,0.267,5357000000,3162000000,19.61,-0.347,-0.039,197.46,1,7,3,0,0,9.24,13.5,1.02,2.432,2.193,5.54,1.033,185.62,140.17,167.18,164.88,30148900,28106000,6.738,100.123,2025-06-02,2025-05-19
