,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,44.880000,45.710000,44.880000,45.580000,8.745790,879800,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-05,45.500000,45.750000,44.590000,45.180000,8.669039,1662450,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-06,45.270000,45.530000,45.000000,45.440000,8.718927,884700,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-07,45.510000,45.510000,44.840000,45.140000,8.661364,804900,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-08,45.110000,45.450000,44.770000,45.400000,8.711252,530650,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-11,45.680000,46.510000,45.440000,46.410000,8.905048,896500,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-12,46.210000,46.370000,45.560000,45.730000,8.774571,815600,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-13,45.990000,45.990000,45.550000,45.920000,8.811028,438450,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-14,45.720000,46.000000,45.500000,45.650000,8.759221,768800,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
2010-01-15,45.510000,45.510000,44.640000,44.920000,8.619150,610350,0.000000,1.000000,OKE,Common Stock,ONEOK Inc,"Oneok, Inc. is a diversified Fortune 500 energy corporation based in Tulsa, Oklahoma.",1039684,NYSE,USD,USA,ENERGY & TRANSPORTATION,NATURAL GAS TRANSMISISON & DISTRIBUTION,"100 WEST 5TH ST, TULSA, OK, US",https://www.oneok.com/,December,2025-03-31,51307270000,6517000000,16.04,1.427,34.2,4.04,0.0505,5.12,42.2,0.121,0.157,0.0605,0.164,24960000000,8891000000,5.12,-0.046,0.682,105.36,5,8,6,0,0,16.04,14.31,2.056,2.402,3.334,12.02,0.931,115.36,74.38,82.56,94.71,624632000,622815000,0.185,74.930,2025-05-15,2025-05-05
