,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2017-04-07,23.750000,24.500000,22.600000,23.510000,23.510000,7940610,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-10,23.700000,24.050000,22.900000,23.250000,23.250000,1592202,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-11,23.150000,23.640000,23.000000,23.300000,23.300000,633531,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-12,23.190000,23.500000,22.960000,23.000000,23.000000,336701,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-13,22.850000,24.960000,22.800000,24.490000,24.490000,1524362,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-17,24.660000,24.750000,24.250000,24.470000,24.470000,407744,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-18,24.330000,24.500000,23.500000,23.570000,23.570000,259550,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-19,23.740000,23.825000,23.140000,23.350000,23.350000,193836,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-20,23.160000,24.120000,23.050000,24.010000,24.010000,298131,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-21,23.780000,24.550000,23.650000,24.290000,24.290000,304751,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-24,24.740000,24.760000,23.700000,23.940000,23.940000,172395,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
2017-04-25,24.120000,25.469000,23.840000,24.710000,24.710000,336845,0.000000,1.000000,OKTA,Common Stock,Okta Inc,None,1660134,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"100 FIRST STREET, SUITE 600, SAN FRANCISCO, CA, US",https://www.okta.com,January,2025-04-30,17351483000,103000000,152.48,0.524,37.51,None,None,0.65,15.66,0.0485,0.0567,0.0011,0.0208,2681000000,2056000000,0.65,0,0.115,123.32,8,18,18,0,1,152.48,30.3,6.47,2.642,5.81,68.61,0.841,127.57,70.56,108.83,92.81,167163000,166160000,0.552,91.931,None,None
