,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,39.245000,39.245000,38.100000,38.500000,2.566667,1278200,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-05,38.350000,38.570000,38.070000,38.560000,2.570667,1134100,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-06,38.440000,38.750000,38.180000,38.390000,2.559333,1105000,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-07,38.220000,38.580000,38.150000,38.270000,2.551333,695300,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-08,38.110000,38.310000,37.890000,37.930000,2.528667,875000,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-11,37.930000,38.170000,37.550000,38.130000,2.542000,778200,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-12,38.900000,39.460000,38.670000,38.850000,2.590000,1660700,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-13,38.950000,39.210000,38.750000,38.980000,2.598667,1386200,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-14,38.770000,38.980000,38.460000,38.790000,2.586000,684800,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-15,38.450000,39.150000,38.020000,38.210000,2.547333,1359300,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-19,38.210000,38.710000,38.000000,38.610000,2.574000,924200,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-20,38.250000,38.360000,37.700000,37.945000,2.529667,989700,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
2010-01-21,37.850000,38.430000,37.570000,37.840000,2.522667,1404700,0.000000,1.000000,ORLY,Common Stock,O’Reilly Automotive Inc,"O'Reilly Auto Parts is an American auto parts retailer that provides automotive aftermarket parts, tools, supplies, equipment, and accessories in the United States serving both the professional service providers and do-it-yourself customers.",898173,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"233 S PATTERSON AVE, SPRINGFIELD, MO, US",https://www.oreillyauto.com,December,2025-03-31,78072717000,3715110000,33.58,2.184,-1.585,None,None,2.72,19.42,0.141,0.179,0.137,0.586,16869163000,8641802000,2.72,0.016,0.04,97.26,5,14,7,1,0,33.58,31.15,4.628,210.18,5.1,23.07,0.6,97.23,67.55,90.79,85.68,854842000,846977000,0.754,88.529,None,None
