,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2012-07-20,55.150000,62.070000,53.100000,53.130000,8.855000,7016100,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-23,52.600000,54.000000,51.100000,51.510000,8.585000,788400,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-24,52.000000,56.000000,51.520000,55.500000,9.250000,716800,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-25,56.500000,59.000000,55.300000,58.950000,9.825000,599700,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-26,59.780000,61.850000,58.080000,59.880000,9.980000,427800,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-27,60.880000,60.880000,57.000000,57.000000,9.500000,153400,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-30,56.860000,56.860000,53.920000,55.000000,9.166667,276400,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-07-31,55.000000,57.140000,52.210000,57.140000,9.523333,285400,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-08-01,58.720000,58.720000,55.140000,56.180000,9.363333,110900,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
2012-08-02,55.680000,60.000000,53.270000,55.100000,9.183333,166000,0.000000,1.000000,PANW,Common Stock,Palo Alto Networks Inc,"Palo Alto Networks, Inc. provides cybersecurity platform solutions globally. The company is headquartered in Santa Clara, California.",1327567,NASDAQ,USD,USA,TECHNOLOGY,"COMPUTER PERIPHERAL EQUIPMENT, NEC","4401 GREAT AMERICA PARKWAY, SANTA CLARA, CA, US",https://www.paloaltonetworks.com,July,2025-04-30,134573580000,1250200000,115.99,2.507,10.86,None,None,1.74,13.52,0.14,0.098,0.031,0.212,8874700000,6528400000,1.74,-0.051,0.153,212.14,11,28,14,2,0,115.99,54.95,15.16,18.61,14.87,79.51,0.973,208.39,142.01,192.55,185.81,666800000,659959000,0.992,81.837,None,None
