,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2021-04-21,65.500000,70.740000,64.840000,69.000000,69.000000,23791556,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-22,73.200000,80.000000,71.030000,75.500000,75.500000,13263830,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-23,76.580000,77.400800,72.570000,74.840000,74.840000,3099535,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-26,76.150000,82.440000,75.700000,80.810000,80.810000,3557344,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-27,82.400000,83.400000,75.100000,75.370000,75.370000,2721944,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-28,76.580000,77.890000,75.410000,75.410000,75.410000,811964,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-29,76.370000,76.980000,70.110000,75.290000,75.290000,1901542,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-04-30,73.380000,74.500000,71.660000,72.000000,72.000000,1230048,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-05-03,72.330000,73.000000,67.750000,70.930000,70.930000,2526201,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
2021-05-04,70.320000,76.580000,69.250000,73.980000,73.980000,2600317,0.000000,1.000000,PATH,Common Stock,Uipath Inc,"UiPath Inc. provides an end-to-end automation platform offering a range of robotic process automation (RPA) solutions primarily in the United States, Romania, and Japan. The company is headquartered in New York, New York.",1734722,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"452 FIFTH AVENUE, 22ND FLOOR, NEW YORK, NY, US",https://www.uipath.com,January,2025-04-30,7110668000,-88596000,None,0.69,3.175,None,None,-0.12,2.617,-0.0465,-0.0376,-0.0232,-0.0362,1451176000,1199500000,-0.12,0.604,0.064,14.3,1,3,18,1,1,-,24.15,4.9,4.186,3.883,-20.97,1.056,15.93,9.38,12.52,12.7,457586000,421787000,8.281,73.384,None,None
