,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,54.660000,55.040000,54.170000,54.520000,41.814252,961000,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-05,54.350000,54.820000,53.940000,54.260000,41.614844,1136400,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-06,54.140000,54.470000,53.800000,54.030000,41.438445,1670700,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-07,53.750000,54.900000,53.750000,54.670000,41.929295,973600,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-08,54.470000,56.230000,54.121900,56.220000,43.118071,1075200,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-11,57.100000,58.030000,56.570000,57.820000,44.345195,1682100,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-12,57.450000,58.090000,57.380000,57.940000,44.437230,1750700,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-13,58.090000,58.590000,57.090000,58.250000,44.674985,1371800,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-14,58.030000,58.940000,57.560000,58.790000,45.089139,1003100,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-15,58.660000,59.150000,57.940000,58.560000,44.912740,1712000,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-19,61.740000,62.850000,60.580000,61.420000,47.106224,3741400,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-20,61.130000,61.180000,59.400000,60.610000,46.484993,2339800,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-21,60.400000,61.430000,58.760000,59.520000,45.649015,2014800,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
2010-01-22,59.440000,59.440000,57.590000,57.620000,44.191805,1462900,0.000000,1.000000,PH,Common Stock,Parker-Hannifin Corporation,"Parker-Hannifin Corporation, originally Parker Appliance Company, usually referred to as just Parker, is an American corporation specializing in motion and control technologies. Its corporate headquarters are in Mayfield Heights, Ohio, in Greater Cleveland.",76334,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS FABRICATED METAL PRODUCTS,"6035 PARKLAND BOULEVARD, CLEVELAND, OH, US",https://investors.parker.com,June,2025-03-31,91891548000,5036260000,27.7,3.215,104.8,6.52,0.0103,25.96,153.89,0.171,0.217,0.0882,0.272,19793742000,7254987000,25.96,0.326,-0.022,712.44,3,14,5,0,1,27.7,24.75,4.643,6.86,5.1,18.82,1.339,720.9,487.08,656.87,648.77,127778000,127331000,0.210,90.384,2025-06-06,2025-05-09
