,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,48.330000,49.590000,48.250000,49.350000,23.466225,7844500,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-05,49.370000,49.570000,48.760000,48.920000,23.261757,7168600,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-06,48.660000,49.000000,48.290000,48.920000,23.261757,11777200,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-07,48.770000,49.600000,48.560000,49.530000,23.551816,8905400,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-08,49.320000,49.520000,48.780000,49.260000,23.423429,6580800,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-11,49.780000,49.800000,49.250000,49.440000,23.509021,6090900,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-12,49.370000,49.370000,48.850000,49.170000,23.380634,6752900,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-13,49.170000,49.890000,49.170000,49.670000,23.618387,5926400,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-14,49.480000,49.980000,49.480000,49.600000,23.585102,4602200,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
2010-01-15,49.660000,49.970000,49.460000,49.620000,23.594612,8269200,0.000000,1.000000,PM,Common Stock,Philip Morris International Inc,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro.",1413329,NYSE,USD,USA,MANUFACTURING,CIGARETTES,"120 PARK AVENUE, NEW YORK, NY, US",https://www.pmi.com,December,2025-03-31,278430286000,16241000000,28.17,1.314,-7.0,5.35,0.0296,6.35,24.69,0.198,0.41,0.138,0,38386000000,25212000000,6.35,0.247,0.058,178.78,5,7,4,0,1,28.17,23.92,7.25,-,8.43,19.77,0.544,185.29,97.78,176.55,145.45,1556520000,1552517000,0.157,81.625,2025-07-15,2025-06-27
