,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,32.390000,33.720000,32.380000,33.380000,16.921408,712500,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-05,33.210000,33.360000,32.440000,32.750000,16.602041,692900,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-06,32.660000,32.870000,32.480000,32.850000,16.652734,483900,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-07,32.780000,33.790000,32.680000,33.740000,17.103904,568200,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-08,33.590000,34.200000,33.460000,33.990000,17.230637,485100,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-11,34.150000,34.150000,33.650000,33.880000,17.174874,359400,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-12,33.560000,33.650000,33.020000,33.250000,16.855507,677400,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-13,33.400000,33.430000,32.930000,33.420000,16.941685,357200,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-14,33.250000,33.560000,33.170000,33.510000,16.987309,523700,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-15,33.350000,33.530000,32.680000,32.730000,16.591902,461200,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-19,32.760000,33.650000,32.760000,33.290000,16.875784,654600,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
2010-01-20,32.930000,33.100000,32.420000,32.620000,16.536139,672600,0.000000,1.000000,PNR,Common Stock,Pentair PLC,"Pentair plc (PNR) is an American water treatment company with its main U.S. office in Minneapolis, Minnesota.",77360,NYSE,USD,USA,TECHNOLOGY,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),"PO BOX 471, SHARP STREET, WALKDEN, MANCHESTER, GB",https://www.pentair.com,December,2025-03-31,17583002000,1037200000,27.61,1.875,22.09,0.94,0.0097,3.87,24.64,0.159,0.225,0.0855,0.186,4076000000,1616400000,3.87,0.164,-0.007,106.77,4,11,6,0,0,27.61,22.52,4.314,4.839,4.759,20.53,1.101,110.1,73.89,97.54,97.19,164527000,163444000,0.756,95.533,2025-08-01,2025-07-18
