,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,16.520000,16.840000,16.440000,16.670000,16.670000,670700,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-05,16.670000,16.680000,16.430000,16.550000,16.550000,605500,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-06,16.520000,16.750000,16.410000,16.490000,16.490000,872400,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-07,16.510000,16.600000,16.300000,16.550000,16.550000,480300,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-08,16.520000,16.680000,16.470000,16.650000,16.650000,412800,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-11,16.760000,16.790000,16.480000,16.690000,16.690000,421500,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-12,16.530000,16.570000,16.260000,16.440000,16.440000,558700,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-13,16.440000,16.750000,16.290000,16.620000,16.620000,540600,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-14,16.890000,17.260000,16.830000,17.110000,17.110000,1068100,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
2010-01-15,17.160000,17.200000,16.480000,16.490000,16.490000,988000,0.000000,1.000000,PTC,Common Stock,PTC Inc,"PTC Inc. is an American computer software and services company founded in 1985 and headquartered in Boston, Massachusetts.",857005,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"140 KENDRICK STREET, NEEDHAM, MA, US",https://www.ptc.com,September,2025-03-31,21108449000,739947000,48.35,1.543,28.24,None,None,3.64,19.54,0.188,0.359,0.0642,0.139,2346680000,1903880000,3.64,0.421,0.055,186.62,3,10,7,0,0,48.35,26.18,8.99,6.23,9.56,29.16,1.183,203.09,133.38,166.63,174.61,119948000,119460000,1.093,101.516,None,None
