,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,21.120000,21.281500,21.000000,21.240000,20.845001,2460200,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-05,21.320000,21.500000,21.100000,21.330000,20.933327,2156000,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-06,21.360000,22.100000,21.260000,21.940000,21.531983,2901900,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-07,21.980000,22.350000,21.860000,22.270000,21.855846,1940800,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-08,22.130000,22.220000,21.700000,21.860000,21.453471,2612400,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-11,21.920000,21.960000,20.650000,20.980000,20.589836,6053300,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-12,20.850000,20.930000,20.430000,20.590000,20.207089,3404200,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-13,20.600000,20.700000,20.040000,20.630000,20.246345,3291000,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-14,20.210000,20.400000,19.340000,19.440000,19.078475,5720000,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
2010-01-15,19.520000,19.570000,19.040000,19.060000,18.705542,5393000,0.000000,1.000000,PWR,Common Stock,Quanta Services Inc,"Quanta Services is an American corporation that provides infrastructure services for electric power, pipeline, industrial and communications industries. Capabilities include the planning, design, installation, program management, maintenance and repair of most types of network infrastructure.",1050915,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,ELECTRICAL WORK,"2800 POST OAK BLVD, SUITE 2600, HOUSTON, TX, US",https://www.quantaservices.com,December,2025-03-31,57280401000,2173506000,62.54,2.399,50.29,0.38,0.0011,6.18,168.62,0.0374,0.037,0.0501,0.137,24874310000,3721304000,6.18,0.215,0.239,352.21,4,16,8,1,0,62.54,36.9,2.303,7.68,2.473,27.3,1.072,387.37,226.82,342.58,310.72,148199000,146448000,0.876,95.061,2025-07-11,2025-07-01
