,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-07-21,28.000000,30.245000,24.000000,26.050000,26.050000,10593568,0.000000,1.000000
2021-07-22,25.500000,28.000000,25.192000,27.010000,27.010000,1416746,0.000000,1.000000
2021-07-23,27.000000,27.470000,26.120400,27.000000,27.000000,628937,0.000000,1.000000
2021-07-26,27.500000,29.450000,26.660000,28.480000,28.480000,814479,0.000000,1.000000
2021-07-27,28.990000,29.190000,26.270000,27.250000,27.250000,2202283,0.000000,1.000000
2021-07-28,26.770000,28.110000,26.510000,27.300000,27.300000,696417,0.000000,1.000000
2021-07-29,27.360000,29.250000,27.140000,28.480000,28.480000,642836,0.000000,1.000000
2021-07-30,28.710000,29.000000,27.220000,27.500000,27.500000,563237,0.000000,1.000000
2021-08-02,27.860000,28.250000,27.353900,28.210000,28.210000,274208,0.000000,1.000000
2021-08-03,28.250000,28.540000,27.630000,28.070000,28.070000,219620,0.000000,1.000000
2021-08-04,27.990000,28.940000,27.960600,28.650000,28.650000,300212,0.000000,1.000000
2021-08-05,28.650000,29.920000,28.060000,29.790000,29.790000,565747,0.000000,1.000000
2021-08-06,30.000000,30.760000,29.930000,30.310000,30.310000,322307,0.000000,1.000000
2021-08-09,30.080000,32.810000,30.030000,32.380000,32.380000,266269,0.000000,1.000000
2021-08-10,32.830000,32.970000,31.780000,32.750000,32.750000,232652,0.000000,1.000000
2021-08-11,32.600000,34.490000,32.580000,34.140000,34.140000,483750,0.000000,1.000000
2021-08-12,34.390000,36.960000,34.130000,34.670000,34.670000,680947,0.000000,1.000000
2021-08-13,34.670000,35.653800,34.320000,35.150000,35.150000,411062,0.000000,1.000000
2021-08-16,35.320000,37.550000,35.110000,36.490000,36.490000,479043,0.000000,1.000000
2021-08-17,36.520000,37.070000,34.880000,35.400000,35.400000,207539,0.000000,1.000000
2021-08-18,35.390000,37.090000,35.100100,36.160000,36.160000,230350,0.000000,1.000000
2021-08-19,35.900000,36.968400,34.510000,34.890000,34.890000,277458,0.000000,1.000000
2021-08-20,35.120000,38.180000,34.798400,36.800000,36.800000,474195,0.000000,1.000000
2021-08-23,37.100000,39.570000,36.900000,38.860000,38.860000,221324,0.000000,1.000000
2021-08-24,39.370000,39.706700,35.170000,37.470000,37.470000,636882,0.000000,1.000000
2021-08-25,37.250000,38.100000,35.660000,37.990000,37.990000,181895,0.000000,1.000000
2021-08-26,37.330000,37.862400,36.210000,36.580000,36.580000,145111,0.000000,1.000000
2021-08-27,36.740000,37.970000,36.650000,37.660000,37.660000,295023,0.000000,1.000000
2021-08-30,37.990000,38.500000,36.110000,37.800000,37.800000,231220,0.000000,1.000000
2021-08-31,38.370000,38.835000,36.770000,36.950000,36.950000,420251,0.000000,1.000000
2021-09-01,37.370000,38.569300,36.000000,36.460000,36.460000,481052,0.000000,1.000000
2021-09-02,36.420000,36.775000,34.740000,34.840000,34.840000,251703,0.000000,1.000000
2021-09-03,35.360000,36.270000,34.850000,35.700000,35.700000,121865,0.000000,1.000000
2021-09-07,35.720000,36.402200,33.090000,33.590000,33.590000,471611,0.000000,1.000000
2021-09-08,33.550000,33.760000,32.660000,33.070000,33.070000,587313,0.000000,1.000000
2021-09-09,33.090000,33.923600,32.780000,32.800000,32.800000,405217,0.000000,1.000000
2021-09-10,32.880000,33.639900,31.610000,31.770000,31.770000,166219,0.000000,1.000000
2021-09-13,31.780000,32.055000,29.045000,29.430000,29.430000,303547,0.000000,1.000000
2021-09-14,29.990000,30.569700,28.060000,29.390000,29.390000,378007,0.000000,1.000000
2021-09-15,29.300000,31.610000,28.650000,31.060000,31.060000,648100,0.000000,1.000000
2021-09-16,30.900000,31.830000,30.190000,31.140000,31.140000,450516,0.000000,1.000000
2021-09-17,31.140000,31.830000,30.520000,30.670000,30.670000,2744633,0.000000,1.000000
2021-09-20,29.930000,32.630000,29.880000,31.490000,31.490000,359897,0.000000,1.000000
2021-09-21,31.880000,34.170000,31.500000,33.710000,33.710000,498271,0.000000,1.000000
2021-09-22,33.770000,33.940000,32.480000,33.560000,33.560000,402183,0.000000,1.000000
2021-09-23,33.600000,35.380000,32.151000,35.010000,35.010000,659236,0.000000,1.000000
2021-09-24,34.960000,36.180000,34.470200,35.210000,35.210000,288795,0.000000,1.000000
2021-09-27,35.010000,35.150000,34.500000,35.080000,35.080000,261782,0.000000,1.000000
2021-09-28,34.710000,34.885000,32.800000,33.390000,33.390000,409033,0.000000,1.000000
2021-09-29,33.690000,33.830000,32.250000,33.620000,33.620000,201901,0.000000,1.000000
2021-09-30,33.740000,35.360000,33.740000,35.160000,35.160000,279803,0.000000,1.000000
2021-10-01,35.120000,36.440000,34.280000,36.280000,36.280000,261715,0.000000,1.000000
2021-10-04,35.700000,36.620000,34.580000,34.650000,34.650000,252486,0.000000,1.000000
2021-10-05,34.670000,35.550000,34.470000,35.080000,35.080000,156373,0.000000,1.000000
2021-10-06,34.430000,36.000000,33.000000,35.970000,35.970000,249089,0.000000,1.000000
2021-10-07,36.770000,37.420000,35.750000,35.960000,35.960000,182474,0.000000,1.000000
2021-10-08,36.180000,36.850000,34.540000,34.950000,34.950000,381781,0.000000,1.000000
2021-10-11,34.620000,35.260000,33.310000,33.410000,33.410000,144932,0.000000,1.000000
2021-10-12,33.510000,34.535000,33.245000,34.170000,34.170000,169748,0.000000,1.000000
2021-10-13,33.030000,33.270000,30.740000,31.540000,31.540000,710019,0.000000,1.000000
2021-10-14,32.190000,32.800000,31.160000,32.010000,32.010000,1011352,0.000000,1.000000
2021-10-15,32.490000,32.920000,31.060000,31.520000,31.520000,5140406,0.000000,1.000000
2021-10-18,31.180000,32.060000,31.180000,31.740000,31.740000,1781461,0.000000,1.000000
2021-10-19,31.940000,33.010000,31.475000,32.040000,32.040000,827095,0.000000,1.000000
2021-10-20,32.400000,32.900000,31.500000,31.620000,31.620000,1189683,0.000000,1.000000
2021-10-21,31.620000,32.690000,31.220000,32.030000,32.030000,383757,0.000000,1.000000
2021-10-22,31.950000,32.490000,31.500000,31.690000,31.690000,383528,0.000000,1.000000
2021-10-25,31.730000,33.000000,31.585000,32.620000,32.620000,537993,0.000000,1.000000
2021-10-26,32.750000,33.150000,31.521000,32.340000,32.340000,345784,0.000000,1.000000
2021-10-27,32.490000,33.031600,31.610000,32.360000,32.360000,306760,0.000000,1.000000
2021-10-28,32.540000,33.120000,32.130000,32.550000,32.550000,238460,0.000000,1.000000
2021-10-29,32.450000,32.950000,32.000000,32.440000,32.440000,146479,0.000000,1.000000
2021-11-01,32.520000,35.270000,32.280000,34.750000,34.750000,723826,0.000000,1.000000
2021-11-02,34.740000,35.030000,33.270000,35.000000,35.000000,201018,0.000000,1.000000
2021-11-03,35.370000,35.491700,34.125000,35.040000,35.040000,301067,0.000000,1.000000
2021-11-04,35.010000,35.290000,33.550000,34.630000,34.630000,256048,0.000000,1.000000
2021-11-05,34.930000,36.350000,34.650000,35.050000,35.050000,381436,0.000000,1.000000
2021-11-08,35.090000,35.270000,34.540000,34.990000,34.990000,369830,0.000000,1.000000
2021-11-09,35.340000,35.760000,34.150000,34.560000,34.560000,778918,0.000000,1.000000
2021-11-10,33.560000,34.420000,32.680000,32.990000,32.990000,907257,0.000000,1.000000
2021-11-11,32.990000,33.415000,30.500000,31.300000,31.300000,371304,0.000000,1.000000
