,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2020-08-17,9.850000,9.900000,9.850000,9.900000,9.900000,280227,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-18,9.940000,9.940000,9.800000,9.860000,9.860000,11256,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-19,9.830000,9.830000,9.820000,9.820000,9.820000,921,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-20,9.850000,9.880000,9.830000,9.880000,9.880000,57308,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-21,9.880000,9.880000,9.740000,9.792600,9.792600,55734,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-24,9.850000,9.890000,9.800000,9.800000,9.800000,3150,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-25,9.850000,9.900000,9.800000,9.810000,9.810000,16803,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-26,9.850000,9.900000,9.800000,9.830000,9.830000,18186,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-27,9.860000,9.869900,9.850000,9.850000,9.850000,4819,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
2020-08-28,9.840000,9.900000,9.820000,9.885000,9.885000,118574,0.000000,1.000000,QS,Common Stock,Quantumscape Corp,"QuantumScape Corporation, a development-stage company, is engaged in the development and commercialization of solid-state lithium metal batteries for electric vehicles and other applications. The company is headquartered in San Jose, California.",1811414,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","1400 OLD COUNTRY ROAD, SUITE 301, WESTBURY, NY, US",https://www.quantumscape.com,December,2025-03-31,3923661000,-452748000,None,None,1.984,None,None,-0.91,0,0,0,-0.237,-0.398,0,0,-0.91,0,0,4.787,0,1,5,2,1,-,-,-,3.539,-,-7.22,4.273,9.52,3.4,4.493,4.895,515685000,422481000,20.027,32.837,None,None
