,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,23.940000,24.290000,23.740000,24.270000,12.896426,598100,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-05,24.260000,24.670000,24.110000,24.660000,13.103662,554200,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-06,24.520000,25.070000,24.360000,25.010000,13.289643,757200,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-07,24.900000,24.950000,24.590000,24.860000,13.209937,698000,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-08,24.770000,24.880000,24.330000,24.590000,13.066466,463100,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-11,24.800000,24.800000,24.250000,24.530000,13.034583,502000,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-12,24.230000,24.400000,23.710000,24.050000,12.779524,462500,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-13,24.860000,25.000000,24.410100,24.950000,13.257760,737800,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-14,25.010000,25.210000,24.800000,25.110000,13.342780,484600,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
2010-01-15,25.030000,25.240000,24.750000,24.800000,13.178054,539100,0.000000,1.000000,RJF,Common Stock,Raymond James Financial Inc.,"Raymond James Financial is an American multinational independent investment bank and financial services company providing financial services to individuals, corporations, and municipalities through its subsidiary companies that engage primarily in investment and financial planning, in addition to investment banking and asset management.",720005,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","880 CARILLON PKWY, ST PETERSBURG, FL, US",https://www.raymondjames.com,September,2025-03-31,32280801000,None,15.41,1.808,59.73,1.9,0.013,10.38,66.21,0.161,0.204,0.0266,0.189,13567000000,12654000000,10.38,0.063,0.107,155.08,2,2,10,0,0,15.41,13.93,2.379,2.661,2.626,-,1.043,173.13,102.81,147.21,148.41,201755000,177776000,10.195,78.600,2025-07-15,2025-07-01
