,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2020-08-06,18.000000,22.760000,17.500000,21.510000,18.018028,111631553,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-07,24.750000,26.850000,22.660000,24.900000,20.857689,89903391,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-10,24.240000,24.750000,21.370000,21.670000,18.152053,26126753,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-11,21.100000,21.600000,20.040000,20.580000,17.239006,18118245,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-12,20.650000,21.190000,19.250000,20.000000,16.753164,17365088,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-13,19.200000,19.600000,18.310000,18.740000,15.697715,19121392,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-14,20.300000,20.490000,18.680000,18.960000,15.881999,34817459,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-17,19.390000,19.430000,18.810000,19.040000,15.949012,8460163,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-18,19.620000,20.800000,19.100000,20.140000,16.870436,16284129,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
2020-08-19,20.080000,21.660000,20.000000,21.400000,17.925885,16762490,0.000000,1.000000,RKT,Common Stock,Rocket Companies Inc,"Rocket Companies, Inc. is engaged in the technology-driven real estate, mortgage and e-commerce businesses in the United States and Canada. The company is headquartered in Detroit, Michigan.",1805284,NYSE,USD,USA,FINANCE,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"1050 WOODWARD AVENUE, DETROIT, MI, US",https://www.rocketcompanies.com,December,2025-03-31,28299151000,768957000,712,1.239,3.889,0,0,0.02,35.37,0.0006,-0.0844,0.0173,0.0154,5082535000,5082535000,0.02,-0.825,-0.233,14.23,0,1,11,0,0,712,55.25,5.57,6.22,1.411,-,2.284,20.23,9.52,13.08,13.94,138400000,123782000,1.889,98.023,2025-04-03,2025-03-20
