,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,53.750000,53.900000,53.380000,53.900000,6.056226,73500,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-05,53.790000,53.790000,52.640000,53.030000,5.958473,65800,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-06,52.950000,52.950000,52.030000,52.190000,5.864090,126000,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-07,52.290000,52.290000,51.710000,52.110000,5.855101,78900,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-08,52.000000,52.150000,51.750000,52.100000,5.853978,43400,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-11,52.560000,52.580000,51.570000,52.010000,5.843865,45200,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-12,50.500000,52.090000,50.010000,52.060000,5.849483,88400,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-13,52.110000,52.840000,51.970000,52.580000,5.907911,41300,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-14,52.260000,52.550000,51.830000,52.450000,5.893304,62300,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
2010-01-15,52.520000,52.690000,51.580000,52.240000,5.869708,87700,0.000000,1.000000,RLI,Common Stock,RLI Corp,"RLI Corp. The company is headquartered in Peoria, Illinois.",84246,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","9025 N. LINDBERGH DRIVE, PEORIA, IL, US",https://www.rlicorp.com,December,2025-03-31,6580124000,366686000,23.66,3.82,17.48,0.58,0.0089,3.03,18.92,0.162,0.189,0.0405,0.18,1733218000,483278000,3.03,-0.511,-0.084,77.25,-,-,-,-,-,23.66,23.58,3.796,4.102,3.839,-,0.658,88.76,66.58,74.09,77.92,91773000,79414000,1.538,82.738,2025-06-20,2025-05-30
