,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2013-09-27,17.250000,19.400000,17.100000,18.200000,18.200000,8127600,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-09-30,17.980000,18.440100,17.570000,18.020000,18.020000,774900,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-01,18.290000,18.290000,16.700000,17.080000,17.080000,610500,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-02,17.190000,17.280000,16.300000,17.000000,17.000000,840800,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-03,16.820000,17.540000,16.520000,16.910000,16.910000,145600,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-04,17.160000,17.750000,16.900000,17.690000,17.690000,215900,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-07,17.830000,18.370000,17.810000,18.300000,18.300000,131400,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-08,18.400000,18.423700,17.100000,17.110000,17.110000,202900,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-09,17.650000,17.650000,16.110000,16.510000,16.510000,219500,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
2013-10-10,16.830000,17.200000,16.650000,16.900000,16.900000,129100,0.000000,1.000000,RNG,Common Stock,Ringcentral Inc,"RingCentral, Inc. offers software-as-a-service solutions that enable businesses to communicate, collaborate, and connect in North America. The company is headquartered in Belmont, California.",1384905,NYSE,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"20 DAVIS DRIVE, BELMONT, CA, US",https://www.ringcentral.com,December,2025-03-31,2701792000,258737000,None,0.281,-5.98,None,None,-0.43,26.52,-0.0165,0.0285,0.0135,-6.89,2428240000,1713736000,-0.43,0,0.048,34.34,2,6,10,1,0,-,7.01,1.113,102.83,1.629,15.25,1.272,42.19,20.59,26.8,30.98,80647000,71430000,1.314,109.100,None,None
