,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2021-10-01,9.500000,9.989900,9.100000,9.350000,9.350000,369828,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-04,9.120000,9.350000,8.000000,8.130000,8.130000,319469,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-05,7.940000,7.970000,6.600000,6.820000,6.820000,850385,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-06,6.790000,6.790000,6.085000,6.320000,6.320000,731668,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-07,6.430000,6.710000,6.160000,6.180000,6.180000,385204,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-08,6.100000,6.500000,5.800000,6.410000,6.410000,547200,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-11,6.490000,6.890000,6.000000,6.850000,6.850000,700168,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-12,6.860000,6.942000,6.095000,6.400000,6.400000,503813,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-13,6.250000,6.445000,6.120000,6.250000,6.250000,289240,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
2021-10-14,6.250000,6.400000,6.030500,6.110000,6.110000,181219,0.000000,1.000000,ROIV,Common Stock,Roivant Sciences Ltd,None,1635088,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"CLARENDON HOUSE, 2 CHURCH STREET, HAMILTON HM11, BM",https://roivant.com,March,2025-03-31,7471068000,-1072609984,None,None,6.74,None,None,-0.75,0.04,0,-48.24,-0.107,-0.125,29053000,-516471008,-0.75,-0.961,-0.161,16.75,3,6,1,0,0,-,-,257.15,1.594,92.39,0.743,1.164,13.05,8.73,11.14,11.2,679806000,401813000,30.305,83.515,None,None
