,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,47.610000,47.960000,47.010000,47.730000,34.726204,904000,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-05,47.650000,47.820000,47.140000,47.350000,34.449733,964900,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-06,47.350000,48.280000,47.230000,48.250000,35.104533,893200,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-07,48.220000,48.870000,47.800000,48.780000,35.490137,673800,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-08,48.630000,49.510000,48.350000,49.460000,35.984874,664400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-11,48.360000,49.030000,48.240000,49.000000,35.650199,1416900,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-12,48.470000,48.800000,48.014000,48.220000,35.082706,1765400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-13,48.310000,48.640000,47.970000,48.450000,35.250044,777400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-14,48.200000,48.860000,48.200000,48.600000,35.359177,627400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-15,48.500000,48.530000,47.260000,47.690000,34.697102,877200,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-19,47.730000,49.170000,47.450000,49.170000,35.773883,1150700,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-20,48.480000,48.500000,47.960000,48.360000,35.184564,1094300,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-21,48.200000,48.700000,47.500000,47.680000,34.689826,1406400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-22,47.420000,47.570000,45.920000,46.020000,33.482085,989900,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-25,46.620000,46.870000,46.090000,46.630000,33.925893,687500,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-26,46.340000,46.890000,45.720000,46.160000,33.583942,1920600,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-27,50.250000,51.860000,49.030000,50.840000,36.988900,8160200,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-28,51.090000,51.360000,49.730000,49.940000,36.334101,3284300,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-01-29,50.200000,50.410000,48.240000,48.240000,35.097257,2637200,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-01,48.460000,49.750000,48.440000,49.750000,36.195865,1363300,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-02,50.000000,50.600000,49.580000,49.680000,36.144936,2382200,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-03,49.590000,49.930000,48.930000,49.230000,35.817536,1512400,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-04,48.700000,48.700000,47.150000,47.910000,34.857164,1962700,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-05,48.000000,48.550000,47.510000,48.510000,35.293697,3071100,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-08,48.200000,48.340000,47.250000,47.710000,34.711653,2016000,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-09,48.890000,50.070000,48.300000,49.500000,36.013976,1899100,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
2010-02-10,49.270000,49.990000,48.840000,49.710000,36.166763,1867700,0.000000,1.000000,ROK,Common Stock,Rockwell Automation Inc,"Rockwell Automation, Inc. is an American provider of industrial automation and information technology. Its brands include Allen-Bradley and Factory Talk software.",1024478,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","1201 SOUTH 2ND STREET, MILWAUKEE, WI, US",https://www.rockwellautomation.com,September,2025-03-31,39120343000,1578700000,43.66,3.66,30.51,5.12,0.0158,7.95,70.33,0.114,0.17,0.0711,0.244,7968200000,3128900000,7.95,-0.039,-0.059,320.46,4,10,13,0,2,43.66,31.25,4.91,11.38,5.37,28.15,1.373,348.43,214.09,303.37,281.5,112716000,112350000,0.200,85.193,2025-09-10,2025-08-18
