,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,42.770000,42.930000,42.300000,42.690000,8.748046,3935900,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-05,42.840000,43.500000,42.610000,43.470000,8.907884,2342400,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-06,43.260000,44.150000,43.150000,44.140000,9.045181,3286200,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-07,45.660000,46.440000,45.560000,45.950000,9.416086,5996200,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-08,45.020000,45.340000,44.780000,45.060000,9.233707,3981500,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-11,45.200000,45.340000,44.520000,45.280000,9.278790,2549400,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-12,45.170000,45.500000,45.050000,45.450000,9.313626,2369600,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-13,45.660000,46.060000,45.500000,45.930000,9.411988,1995900,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-14,45.730000,45.880000,45.530000,45.600000,9.344364,2031400,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
2010-01-15,45.790000,45.810000,44.800000,44.880000,9.196822,1634900,0.000000,1.000000,ROST,Common Stock,Ross Stores Inc,"Ross Stores, Inc., operating under the brand name Ross Dress for Less, is an American chain of discount department stores headquartered in Dublin, California.",745732,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-FAMILY CLOTHING STORES,"4440 ROSEWOOD DRIVE, PLEASANTON, CA, US",https://www.rossstores.com,January,2025-04-30,43026190000,3054483000,20.78,2.591,17.03,1.508,0.0127,6.33,65.0,0.098,0.122,0.113,0.396,21256122000,6968581000,6.33,0.007,0.026,150.22,4,11,6,0,1,20.78,21.51,2.024,7.72,2.082,13.52,1.157,161.83,122.01,139.33,142.38,327071000,319414000,2.255,94.461,2025-06-30,2025-06-10
