,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,70.210000,71.860000,69.860000,71.630000,24.621368,6104100,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-05,71.640000,71.640000,70.280000,70.560000,24.253577,5004900,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-06,70.560000,70.830000,70.030000,70.190000,24.126397,4726900,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-07,70.010000,70.620000,69.570000,70.490000,24.229516,4264400,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-08,70.260000,70.700000,70.250000,70.630000,24.277638,4654800,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-11,70.730000,72.260000,70.730000,72.160000,24.803545,5530000,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-12,71.800000,71.950000,71.060000,71.740000,24.659178,4672000,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-13,71.820000,72.660000,71.790000,72.560000,24.941037,4877100,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-14,72.240000,72.850000,72.120000,72.810000,25.026969,3551300,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-15,72.830000,72.930000,71.680000,71.990000,24.745111,5343300,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-19,71.990000,72.940000,71.640000,72.290000,24.848230,3680700,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
2010-01-20,72.010000,72.240000,70.630000,71.430000,24.552622,3673200,0.000000,1.000000,RTX,Common Stock,Raytheon Technologies Corp,"Raytheon Technologies Corporation is an American multinational aerospace and defense conglomerate headquartered in Waltham, Massachusetts. It is one of the largest aerospace, intelligence services providers, and defense manufacturers in the world by revenue and market capitalization. Raytheon Technologies (RTX) researches, develops, and manufactures advanced technology products in the aerospace and defense industry, including aircraft engines, avionics, aerostructures, cybersecurity, guided missiles, air defense systems, satellites, and drones.",101829,NYSE,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"870 WINTER STREET, WALTHAM, MA, US",https://www.rtx.com,December,2025-03-31,194714698000,13382000000,42.74,1.569,46.05,2.52,0.0186,3.41,61.27,0.0563,0.118,0.0347,0.078,81738998000,15965000000,3.41,-0.109,0.052,144.34,4,12,8,0,0,42.74,24.04,2.382,3.165,2.845,18.29,0.617,149.26,97.38,136.09,126.75,1335950000,1221302000,0.079,82.929,2025-09-04,2025-08-15
