,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,42.440000,42.680000,41.890000,42.320000,10.802208,862667,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-05,42.270000,43.510000,41.900000,43.450000,11.090641,1115200,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-06,43.405000,43.560000,43.160000,43.500000,11.103404,1044667,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-07,43.260000,44.490000,43.010000,44.390000,11.330577,1460067,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-08,44.180000,45.030000,44.000000,44.940000,11.470965,1154600,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-11,45.090000,45.610000,45.090000,45.370000,11.580723,1238333,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-12,45.050000,45.240000,44.420000,44.700000,11.409705,1298533,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-13,44.930000,45.210000,44.520000,45.030000,11.493937,628800,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-14,44.790000,44.900000,44.500000,44.650000,11.396942,536733,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
2010-01-15,44.640000,44.910000,44.470000,44.490000,11.356102,796467,0.000000,1.000000,RYN,Common Stock,Rayonier Inc,Rayonier is a leading timber real estate investment trust with assets located in some of the most productive softwood producing regions in the United States and New Zealand. ,52827,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"1 RAYONIER WAY, WILDLIGHT, FL, US",https://www.rayonier.com,December,2025-03-31,3646659000,518591000,9.71,23.24,12.28,1.128,0.0491,2.38,8.21,0.287,0.0012,0.0701,0.189,1233027000,469294000,2.38,1.515,-0.507,29.86,2,1,4,0,0,9.71,62.5,2.958,1.879,3.605,8.2,1.083,30.01,21.84,23.48,27.22,155777000,141405000,0.887,95.766,2025-06-30,2025-06-16
