,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,34.350000,35.810000,34.192400,35.170000,32.819227,1885400,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-05,35.440000,36.030000,35.180000,36.010000,33.603081,1851100,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-06,35.950000,36.020000,35.290000,35.940000,33.537760,2036000,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-07,35.700000,36.680000,35.530000,36.450000,34.013671,3020800,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-08,36.510000,36.670000,36.100000,36.490000,34.050998,1032800,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-11,36.710000,37.000000,36.490000,36.740000,34.284288,1193000,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-12,36.290000,36.470000,35.140000,35.330000,32.968532,1115600,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-13,35.590000,36.360000,35.430000,36.280000,33.855034,1149000,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-14,36.090000,36.910000,36.090000,36.410000,33.976345,1356300,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
2010-01-15,36.550000,37.120000,36.400000,36.650000,34.200303,1511900,0.000000,1.000000,SBAC,Common Stock,SBA Communications Corp,"SBA Communications Corporation is a real estate investment trust which owns and operates wireless infrastructure in the United States, Canada, Central America, South America, and South Africa.",1034054,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"8051 CONGRESS AVENUE, BOCA RATON, FL, US",https://www.sbasite.com,December,2025-03-31,25134608000,1788803000,30.94,1.713,-46.01,4.05,0.0189,7.56,24.97,0.304,0.554,0.0936,0,2686020000,2062710000,7.56,0.437,0.01,254.94,3,6,8,0,0,30.94,26.88,9.36,-,14.55,25.14,0.78,249.02,187.33,231.69,222.61,107445000,106639000,0.715,101.293,2025-06-17,2025-05-22
