,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,23.280000,23.330000,22.910000,23.050000,8.722972,8185000,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-05,22.960000,24.000000,22.890000,23.590000,8.927328,15029400,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-06,23.480000,23.620000,23.260000,23.420000,8.862994,7104800,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-07,23.280000,23.530000,23.190000,23.360000,8.840287,5128000,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-08,23.200000,23.600000,23.190000,23.280000,8.810012,5137400,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-11,23.370000,23.370000,22.870000,23.210000,8.783522,5693500,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-12,22.900000,23.190000,22.500000,22.820000,8.635931,7714800,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-13,22.900000,23.500000,22.770000,23.375000,8.845964,7549200,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-14,23.240000,23.600000,23.210000,23.550000,8.912190,7758700,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
2010-01-15,23.730000,23.750000,22.910000,23.270000,8.806228,10931300,0.000000,1.000000,SBUX,Common Stock,Starbucks Corporation,"Starbucks Corporation is an American multinational chain of coffeehouses and roastery reserves headquartered in Seattle, Washington. As the world's largest coffeehouse chain, Starbucks is seen to be the main representation of the United States' second wave of coffee culture.",829224,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-EATING & DRINKING PLACES,"P O BOX 34067, SEATTLE, WA, US",https://www.starbucks.com,September,2025-03-31,107321623000,6058200000,34.34,2.497,-6.71,2.4,0.0266,2.75,32.05,0.0861,0.0751,0.0898,0,36347302000,9097900000,2.75,-0.503,0.023,92.95,6,9,18,1,0,34.34,32.05,2.953,-,3.585,20.57,0.99,116.64,69.81,87.52,95.55,1136400000,1134286000,0.159,84.708,2025-05-30,2025-05-16
