,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,33.340000,34.490000,33.340000,34.430000,18.121398,2799800,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-05,34.330000,34.900000,34.140000,34.770000,18.300349,2269600,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-06,35.030000,36.030000,34.800000,35.900000,18.895097,3036500,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-07,35.710000,36.000000,35.280000,35.560000,18.716146,2221800,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-08,35.590000,36.380000,35.430000,36.260000,19.084574,2131200,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-11,36.790000,36.980000,35.960000,36.300000,19.105628,2611100,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-12,35.590000,35.640000,34.440000,34.780000,18.305612,3234200,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-13,34.250000,34.680000,33.600000,34.510000,18.163504,3649200,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-14,34.600000,34.780000,33.860000,34.000000,17.895078,3395700,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
2010-01-15,33.740000,33.950000,33.100000,33.230000,17.489807,4130900,0.000000,1.000000,SCCO,Common Stock,Southern Copper Corporation,"Southern Copper Corporation is engaged in the extraction, exploration, smelting and refining of copper and other minerals in Peru, Mexico, Argentina, Ecuador and Chile. ",1001838,NYSE,USD,USA,ENERGY & TRANSPORTATION,METAL MINING,"1440 E. MISSOURI AVENUE, SUITE 160, PHOENIX, AZ, US",https://www.southerncoppercorp.com,December,2025-03-31,85118632000,6786900000,23.58,1.2,11.55,1.97,0.0277,4.49,15.08,0.3,0.492,0.202,0.417,11955500000,7058800000,4.49,0.291,0.201,92.55,0,3,9,1,4,23.58,25.71,7.12,8.9,7.42,12.89,1.004,116.13,73.52,94.14,97.27,804068000,100669000,89.871,9.866,2025-05-19,2025-05-02
