,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,39.360000,39.710000,38.900000,38.970000,24.012541,437600,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-05,38.830000,38.840000,38.220000,38.700000,23.846172,579800,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-06,38.810000,39.360000,38.710000,39.250000,24.185071,564900,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-07,39.300000,40.030000,39.180000,39.720000,24.474676,407300,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-08,39.840000,39.840000,39.370000,39.700000,24.462352,402300,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-11,39.700000,40.100000,39.570000,39.970000,24.628721,407200,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-12,39.870000,40.070000,39.700000,40.000000,24.647206,280200,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-13,40.000000,40.330000,39.860000,40.210000,24.776604,308300,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-14,40.140000,40.260000,39.900000,40.060000,24.684177,273800,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
2010-01-15,41.200000,41.910000,40.980000,41.550000,25.602286,825300,0.000000,1.000000,SMG,Common Stock,Scotts Miracle-Gro Company,"Scotts Miracle-Gro Company manufactures, markets, and sells lawn and garden products to consumers in the United States and internationally. The company is headquartered in Marysville, Ohio.",825542,NYSE,USD,USA,LIFE SCIENCES,AGRICULTURAL CHEMICALS,"14111 SCOTTSLAWN ROAD, MARYSVILLE, OH, US",https://scottsmiraclegro.com,September,2025-03-31,3955786000,477400000,118.17,0.252,-5.03,2.64,0.04,0.58,60.4,0.0105,0.258,0.0669,-0.476,3454700000,994100000,0.58,0.358,-0.068,73,2,6,3,0,0,118.17,14.79,1.145,18.98,1.878,21.88,1.969,91.11,45.12,60.16,67.94,57715000,43899800,24.086,74.320,2025-06-06,2025-05-23
