,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,42.740000,43.060000,42.510000,42.860000,30.424192,268000,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-05,42.630000,43.010000,42.440000,42.840000,30.409995,392700,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-06,42.840000,43.170000,42.620000,43.080000,30.580359,658400,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-07,42.860000,43.800000,42.860000,43.800000,31.091451,405200,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-08,43.580000,44.780000,43.490000,44.710000,31.737415,384600,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-11,44.840000,44.960000,44.540000,44.900000,31.872287,521100,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-12,44.460000,44.610000,43.730000,43.960000,31.205027,462300,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-13,44.000000,44.300000,43.780000,44.240000,31.403785,244800,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-14,44.060000,44.409900,43.930000,44.100000,31.304406,267000,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-15,43.940000,44.210000,43.170000,43.400000,30.807511,407800,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-19,43.340000,44.010000,43.340000,44.010000,31.240520,310300,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-20,43.480000,43.780000,42.980000,43.490000,30.871397,277600,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-21,43.390000,43.750000,42.920000,43.390000,30.800412,686700,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-22,43.420000,43.765000,43.060000,43.210000,30.672639,558100,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-25,43.610000,43.690000,42.800000,43.070000,30.573260,409800,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-26,43.060000,43.260000,42.660000,42.670000,30.289320,404400,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-27,42.440000,42.640000,41.360000,42.200000,29.955690,432500,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-28,42.140000,42.200000,40.900000,41.260000,29.288431,340600,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-01-29,41.340000,41.820000,40.780000,40.880000,29.018688,335200,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-01,41.110000,41.700000,41.070000,41.690000,29.593667,209400,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-02,41.650000,43.110000,41.650000,42.990000,30.516472,413500,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-03,42.940000,43.480000,42.590000,42.930000,30.473881,497200,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-04,42.730000,43.060000,40.210000,40.400000,28.677959,1638000,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-05,40.470000,40.590000,39.310000,40.310000,28.614073,1197400,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
2010-02-08,40.230000,40.620000,39.790000,40.120000,28.479201,540900,0.000000,1.000000,SNA,Common Stock,Snap-On Inc,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries.",91440,NYSE,USD,USA,MANUFACTURING,"CUTLERY, HANDTOOLS & GENERAL HARDWARE","2801 80TH STREET, KENOSHA, WI, US",https://www.snapon.com,December,2025-03-31,16818354000,1450100000,16.84,2.435,105.58,8,0.0275,19.1,96.57,0.201,0.253,0.108,0.195,5069700000,2638800000,19.1,-0.081,-0.03,321.39,2,2,5,1,1,16.84,17.27,3.317,3.046,3.57,11.17,0.766,369.12,248.8,316.93,329.03,52291000,51033000,2.265,94.194,2025-06-10,2025-05-20
