,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
2010-01-04,22.300000,22.500000,22.000000,22.000000,16.395625,5200,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-05,22.450000,22.500000,22.250000,22.500000,16.768253,78400,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-06,22.500000,23.000000,22.250000,23.000000,17.140881,97900,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-07,23.100000,25.600000,23.100000,25.500000,19.004020,144600,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-08,25.500000,28.000000,25.500000,26.500000,19.749276,59300,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-11,27.390000,27.500000,26.200000,27.500000,20.494532,73500,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-12,27.500000,27.900000,27.500000,27.500000,20.494532,1700,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-13,27.900000,28.000000,27.500000,27.900000,20.792634,29300,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-14,28.000000,28.600000,28.000000,28.600000,21.314313,4100,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
2010-01-15,29.000000,29.250000,29.000000,29.250000,21.798729,42500,0.000000,1.000000,SPB,Common Stock,Spectrum Brands Holdings Inc,"Spectrum Brands Holdings, Inc. is a global branded consumer products company. The company is headquartered in Middleton, Wisconsin.",109177,NYSE,USD,USA,MANUFACTURING,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","450 PARK AVENUE, 27TH FLOOR, NEW YORK, NY, US",https://www.spectrumbrands.com,September,2025-03-31,1388168000,281500000,26.69,2.02,74.49,1.78,0.0355,2.12,105.55,0.0201,0.0605,0.0274,0.0282,2929100000,1102100000,2.12,-0.983,-0.06,81.86,2,4,4,0,0,26.69,11.74,0.474,0.737,0.685,8.3,0.921,95.26,50.73,58.55,76.94,24534600,24064000,3.761,106.160,2025-06-17,2025-05-27
